text,expected_intent,predicted_intent,intent_correct,confidence,expected_action,predicted_action,action_correct,reason
"I created a Spotify account and have started paying for the premium package. However, I have forgotten my username and password and are unable to log in. I was wondering how I can cancel my payments? I can provide my bank details to possibly link it to my account",Login_Issue,Login_Issue,True,0.6501,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"I switched to an Android recently, and everytime I use the app in tje background/another app it crashes! #helpme",App_Technical,App_Technical,True,0.8896,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
put perfect velvet on spotify already I'm tired,Music_Content,Music_Content,True,0.622,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
we can't log in,Login_Issue,Login_Issue,True,0.9986,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"can't login with my premium account on android system, says that experiencing problem",Login_Issue,Login_Issue,True,0.6478,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"account hacked, cant log in, contact number please?",Account_Security,Account_Security,True,0.8302,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Account_Security, which may require account-specific verification or sensitive information."
"I’m a family plan member, how come when my wife is on it boots me off? It never used to.",Family_Student_Plan,Family_Student_Plan,True,0.9575,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
And this is not set offline,Downloads_Offline,Downloads_Offline,True,0.9901,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"got a new phone, premium subscription is not working. Need fix",Premium_Subscription,Premium_Subscription,True,0.5877,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
"hey i just paid for spotify premium but why my account still written ""free""",Premium_Subscription,Premium_Subscription,True,0.8854,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
add a feature where we can see our most played songs and artists pleeeasseeeeee,Feature_Request,Feature_Request,True,0.8582,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"What's happening with your music in , ?? Your songs won't play anymore... 🙁",Playback_Issue,Playback_Issue,True,0.7996,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"Hey the app is crashing every time I try to share a playlist! Pixel, Android 8",App_Technical,App_Technical,True,0.9138,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
I have a free account w/ a long account name given by Spotify. On this account I have created multiple playlists. I want to purchase premium but am unable to access this free account (error mentions CRFA?). How do I get a new account and keep my playlists/history?,Premium_Subscription,Premium_Subscription,True,0.6963,ESCALATE_TO_HUMAN,AUTO_HANDLE,False,This appears to be a common support issue with a standard troubleshooting or informational response.
why can't I activate the student discount?,Family_Student_Plan,Family_Student_Plan,True,0.927,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
- Yr App is killing my business. Keeps crashing/pple complaining/ music keeps stopping. Not happy😢😢😢,App_Technical,App_Technical,True,0.6786,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
you charged me twice for a month's sub. you charged me student and regular. Please reverse the charges for the student sub. Not impressed.,Payment_Refund,Payment_Refund,True,0.8691,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Payment_Refund, which may require account-specific verification or sensitive information."
Sweet. I e-mailed The swedish support two weeks ago but they haven't answered. I keep getting logged out from my account and can't log in without reinstalling the app. This deletes all my downloaded playlists. What can I do?,Login_Issue,Login_Issue,True,0.3288,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
I am trying to sign up for a new account. ios app or web browser (safari&chrome) wont work. help!,App_Technical,App_Technical,True,0.2722,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
my account (ccdap) has been hacked!,Account_Security,Account_Security,True,0.9999,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Account_Security, which may require account-specific verification or sensitive information."
"My premium account, suddenly turn in to a free account, I have paid but I just can't go back to premium! I think it is cause of my address",Premium_Subscription,Premium_Subscription,True,0.9467,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
Hey I wanted to cancel my premium account but you already charged me before I wanted to cancel can I get a refund,Payment_Refund,Payment_Refund,True,0.6649,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Payment_Refund, which may require account-specific verification or sensitive information."
"someone hacked my account and I've lost my playlists, can I retrieve them?",Account_Security,Account_Security,True,0.8914,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Account_Security, which may require account-specific verification or sensitive information."
the last version of Spotify on IPhone crashes often. It is getting annoying. When will there be an update with bug fixes?,App_Technical,App_Technical,True,0.7554,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
. Can y’all consider adding a feature where i can type in song lyrics to find a song if i forget the name 🤔,Feature_Request,Music_Content,False,0.781,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
my account is being hacked. I want to delete this asap. Someone is creating playlists. Please help!,Account_Security,Account_Security,True,0.9097,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Account_Security, which may require account-specific verification or sensitive information."
"hi, I'm on the previous iOS to the latest. Just updated Spotify and now it won't open. Have restarted the phone and app with no luck. Is this a bug? Best to update to latest iOS?",App_Technical,App_Technical,True,0.6134,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
got charged for premium but can’t listen to premium... can you please fix my problem I’m very sad.,Premium_Subscription,Payment_Refund,False,0.6036,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"This issue belongs to Payment_Refund, which may require account-specific verification or sensitive information."
"my card was charged, but I still don't have premium",Premium_Subscription,Payment_Refund,False,0.8109,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"This issue belongs to Payment_Refund, which may require account-specific verification or sensitive information."
"Hi , i can't login to my account, i want to reset my password and can't get the link on my email. Can you help me to check?",Login_Issue,Login_Issue,True,0.8414,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
stop charging me! Account cancelled months ago! How do I get a refund?,Payment_Refund,Payment_Refund,True,0.7222,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Payment_Refund, which may require account-specific verification or sensitive information."
HELP! My account has been hacked and now the email address has been changed so I can’t reset the password.,Account_Security,Account_Security,True,0.9335,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Account_Security, which may require account-specific verification or sensitive information."
"just received an email regarding my student premium membership, could you please check DMs? ☺️",Family_Student_Plan,Family_Student_Plan,True,0.3916,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
"I don't have my facebook account linked to my spotify anymore, so now I can't log in. What can I do?",Login_Issue,Login_Issue,True,0.7884,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
Now I've been charged for Student twice. I'm not a student. Please contact me. Thanks! 🌊🌊🌊,Payment_Refund,Payment_Refund,True,0.8324,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Payment_Refund, which may require account-specific verification or sensitive information."
"I have a 2,000 song playlist on but I only hear about 30 of the same songs on shuffle.",Playback_Issue,Playback_Issue,True,0.699,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
Does anyone know how to contact ? Someone else is using my account even though I’ve repeatedly changed my password and email.,Account_Security,Account_Security,True,0.6225,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Account_Security, which may require account-specific verification or sensitive information."
i already paid in cash for my spotify premium but my account is still free.,Premium_Subscription,Premium_Subscription,True,0.982,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"Hi, I’ve just bought Spotify premium but I’ve received two receipts, does this mean I’ve been charged twice?",Payment_Refund,Payment_Refund,True,0.6525,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Payment_Refund, which may require account-specific verification or sensitive information."
"Naka globe postpaid ako, mag spotify premium sana ako yung nadadagdag lang sa bill ko. Pwede ba yung student discount don? 65 per month.",Family_Student_Plan,Family_Student_Plan,True,0.4302,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
"your adds are more compressed, hasher and alot louder than the music. Sort that out ya nearly blew my ears out and nt near full vol",App_Technical,Music_Content,False,0.456,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
I can't remember my password/email I used on my phone and I made a premium account using my student discount. How do I recover it?,Login_Issue,Family_Student_Plan,False,0.4464,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
Android app asks to log on but when I try it says I'm set to offline. Then gets stuck in a loop. 7gb of downloads I need to access!,Downloads_Offline,Downloads_Offline,True,0.7972,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
your shuffle algorithm sucks please stop this madness and just shuffle my dang songs,Playback_Issue,Playback_Issue,True,0.9699,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"your Mac based app is terrible, slow and constantly crashes. Latest updates have done nothing to improve it",App_Technical,App_Technical,True,0.7012,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
