text,intent,expected_action,retrieved_message,retrieved_intent,similarity_score_raw,intent_match,rubric,similarity_rubric_score
"I have a premium account but I want the student discount, but I currently pay with iDeal, and when I want to activate the student deal, I have to fill in my info for a creditcard. Why and is there a way I can pay with iDeal like I am doing now? #Netherlands #Spotify",Family_Student_Plan,AUTO_HANDLE,"@SpotifyCares I have a premium account but I want the student discount, but I currently pay with iDeal, and when I want to activate the student deal, I have to fill in my info for a creditcard. Why and is there a way I can pay with iDeal like I am doing now? #Netherlands #Spotify",Family_Student_Plan,1.0,True,GOOD,3
hi! I just paid for my premium student account but i am still on free??! please fix that. i didnt even got an email but the money is already charged from my bank account,Family_Student_Plan,AUTO_HANDLE,@117153 hi! I just paid for my premium student account but i am still on free??! please fix that. i didnt even got an email but the money is already charged from my bank account,Premium_Subscription,1.0,False,POOR,3
"Either my mobile (android) or desktop (windows 10). It doesnt respond when i click them, if i try shuffle i get ""this song is not available""",Playback_Issue,AUTO_HANDLE,"@SpotifyCares Either my mobile (android) or desktop (windows 10). It doesnt respond when i click them, if i try shuffle i get ""this song is not available""",Playback_Issue,1.0,True,GOOD,3
help! Was exploring the family plan but then it was actually purchased!,Family_Student_Plan,AUTO_HANDLE,@SpotifyCares help! Was exploring the family plan but then it was actually purchased!,Family_Student_Plan,1.0,True,GOOD,3
I was charged for premium 3 days ago... It still shows I have a free account and dont have premium features... Please help. 🙏,Premium_Subscription,AUTO_HANDLE,@117153 @SpotifyCares I was charged for premium 3 days ago... It still shows I have a free account and dont have premium features... Please help. 🙏,Premium_Subscription,1.0,True,GOOD,3
"Hey, . . . So, it's 2017, and you guys have THE killer music-streaming app . . . So tell me how I can truly randomize a 300-song shuffle on a 300-song playlist on my mobile device? Come on. Impress me. I fucking DARE you.",Playback_Issue,AUTO_HANDLE,"Hey, @SpotifyCares . . . 
So, it's 2017, and you guys have THE killer music-streaming app . . . 
So tell me how I can truly randomize a 300-song shuffle on a 300-song playlist on my mobile device? 
Come on. Impress me. I fucking DARE you.",Playback_Issue,1.0,True,GOOD,3
all my saved music has been deleted for the second time in 2 weeks. Why is this happening? Can’t listen offline.,Downloads_Offline,AUTO_HANDLE,@SpotifyCares all my saved music has been deleted for the second time in 2 weeks. Why is this happening? Can’t listen offline.,Downloads_Offline,1.0,True,GOOD,3
I'd like a refund,Payment_Refund,ESCALATE_TO_HUMAN,@SpotifyCares I'd like a refund,Payment_Refund,1.0,True,GOOD,3
Feature Request: Make it easy to separate singles from albums in new releases.,Feature_Request,AUTO_HANDLE,@SpotifyCares Feature Request: Make it easy to separate singles from albums in new releases.,Feature_Request,1.0,True,GOOD,3
"Hello, i signed up to an existing Family plan, but my account dont upgrade...",Family_Student_Plan,AUTO_HANDLE,"@117153 @SpotifyCares Hello, i signed up to an existing Family plan, but my account dont upgrade...",Family_Student_Plan,1.0,True,GOOD,3
can you add a feature so I can block certain artists from my music feed? Like I never wanna hear the craptastic or ever again and ive been thumbing them down since signing up. #stopshittymusic,Feature_Request,AUTO_HANDLE,@115888 can you add a feature so I can block certain artists from my music feed? Like I never wanna hear the craptastic @3568 @4711  @30403 or @1266 ever again and ive been thumbing them down since signing up. #stopshittymusic,Music_Content,1.0,False,POOR,3
Thanks. Did Webchat and they sorted it. I'd been hacked.,Account_Security,ESCALATE_TO_HUMAN,@SpotifyCares Thanks. Did Webchat and they sorted it. I'd been hacked.,Account_Security,1.0,True,GOOD,3
Am I the only one that has been charged twice this month by Spotify?,Payment_Refund,ESCALATE_TO_HUMAN,Why have I been charged twice in the same month?? @115888,Payment_Refund,0.7678,True,GOOD,3
you should add a functionality: sort tracks by bpm. #asap,Feature_Request,AUTO_HANDLE,@115888 you should add a functionality: sort tracks by bpm. #asap,Feature_Request,1.0,True,GOOD,3
"I paid for a premium family plan, all the other accounts are working but my account does not receive the premium features. My account username is sarimr_12. Please help with this issue.",Family_Student_Plan,AUTO_HANDLE,"@SpotifyCares I paid for a premium family plan, all the other accounts are working but my account does not receive the premium features. My account username is sarimr_12. Please help with this issue.",Family_Student_Plan,1.0,True,GOOD,3
is there a reason why you only accept Unidays and not for your student discount?,Family_Student_Plan,AUTO_HANDLE,@SpotifyCares is there a reason why you only accept Unidays and not @192177 for your student discount?,Family_Student_Plan,1.0,True,GOOD,3
"feature request: bluetooth pair w/ treadmill, adjust treadmill speed to my current song's BPM so I can always run to the beat. Playlists automatically become curated workouts",Feature_Request,AUTO_HANDLE,"@115888 feature request: bluetooth pair w/ treadmill, adjust treadmill speed to my current song's BPM so I can always run to the beat. Playlists automatically become curated workouts",Feature_Request,1.0,True,GOOD,3
Hey i suscribed to Spotify Premium with the Student discount but i still don't have SpotifyPremium activated on my account,Family_Student_Plan,AUTO_HANDLE,@SpotifyCares Hey i suscribed to Spotify Premium with the Student discount but i still don't have SpotifyPremium activated on my account,Family_Student_Plan,1.0,True,GOOD,3
is there a way to know if I’m adding a duplicate song within a folder of music?,Music_Content,AUTO_HANDLE,@SpotifyCares is there a way to know if I’m adding a duplicate song within a folder of music?,Music_Content,1.0,True,GOOD,3
"What the hell, Canada?! I want to listen to some older albums at work, and it turns out a bunch of them are missing/unplayable! Users have confirmed they're available on Spotify USA. HE'S. CANADIAN. I'M. CANADIAN. Ugh, I hate this licensing crap.",Music_Content,AUTO_HANDLE,"What the hell, @115888 Canada?! I want to listen to some older @113729 albums at work, and it turns out a bunch of them are missing/unplayable! 

Users have confirmed they're available on Spotify USA. 

HE'S. CANADIAN.
I'M. CANADIAN.

Ugh, I hate this licensing crap. https://t.co/yI2i1N2wZb",Music_Content,1.0,True,GOOD,3
hey someone else has been in my account but i changed the PW so np but i was already premium but not anymore whats going on?,Account_Security,ESCALATE_TO_HUMAN,@117153 hey someone else has been in my account but i changed the PW so np but i was already premium but not anymore whats going on?,Account_Security,1.0,True,GOOD,3
My account has been hacked and I'm locked out of both resetting my password and changing my email address. Any help you can offer?,Account_Security,ESCALATE_TO_HUMAN,@SpotifyCares My account has been hacked and I'm locked out of both resetting my password and changing my email address. Any help you can offer?,Account_Security,1.0,True,GOOD,3
the app keeps deleting offline/saved songs off of my phone with no warning. I have plenty of space on it. Samsung S6 Edge.,Downloads_Offline,AUTO_HANDLE,@SpotifyCares the app keeps deleting offline/saved songs off of my phone with no warning. I have plenty of space on it. Samsung S6 Edge.,Downloads_Offline,1.0,True,GOOD,3
"I just got kicked off my family plan and can’t get back on it. Every time I put in the confirmation, “something went wrong”",Family_Student_Plan,AUTO_HANDLE,"@SpotifyCares I just got kicked off my family plan and can’t get back on it. Every time I put in the confirmation, “something went wrong”",Family_Student_Plan,1.0,True,GOOD,3
have been charged twice $9.99 for a personal account when I want a family account for $14.99. Can you fix this...acct Cervelott,Payment_Refund,ESCALATE_TO_HUMAN,@5606 have been charged twice $9.99 for a personal account when I want a family account for $14.99. Can you fix this...acct Cervelott,Payment_Refund,1.0,True,GOOD,3
Maintenance? We can't login. 🙁,Login_Issue,AUTO_HANDLE,Maintenance? We can't login. 🙁 @115888,Login_Issue,1.0,True,GOOD,3
can y’all put Beyoncé’s lemonade album on Spotify already 🤦🏻‍♀️,Music_Content,AUTO_HANDLE,@115888 can y’all put Beyoncé’s lemonade album on Spotify already 🤦🏻‍♀️,Music_Content,1.0,True,GOOD,3
Hey you should add music videos to your repertoire,Music_Content,AUTO_HANDLE,Hey @115888 you should add music videos to your repertoire,Music_Content,1.0,True,GOOD,3
shuffle is broken. on playlists the app will play 10-20 songs off the same two albums if possible then switches to two other albums. doesn’t feel random at all when a large playlist with dozens of albums only shuffles through 2 at a time.,Playback_Issue,AUTO_HANDLE,@SpotifyCares shuffle is broken. on playlists the app will play 10-20 songs off the same two albums if possible then switches to two other albums. doesn’t feel random at all when a large playlist with dozens of albums only shuffles through 2 at a time.,Playback_Issue,1.0,True,GOOD,3
"hey I wanted to cancel my subscription cause I can't afford it on my student budget, but instead y'all deactivated my account? I was hoping to start a family plan in January ;-;",Family_Student_Plan,AUTO_HANDLE,"hey @SpotifyCares I wanted to cancel my subscription cause I can't afford it on my student budget, but instead y'all deactivated my account?

I was hoping to start a family plan in January ;-;",Family_Student_Plan,1.0,True,GOOD,3
Hulu says it cannot authorize my spotify account when trying to sign for the student premium deal. Need help,Family_Student_Plan,AUTO_HANDLE,@SpotifyCares Hulu says it cannot authorize my spotify account when trying to sign for the student premium deal. Need help,Family_Student_Plan,1.0,True,GOOD,3
"have Premium for Family. Trying to set up daughter's profile, redeem code not working. Have resent invite twice. Please advise",Family_Student_Plan,AUTO_HANDLE,"@116130 have Premium for Family. Trying to set up daughter's profile, redeem code not working. Have resent invite twice. Please advise",Premium_Subscription,1.0,False,POOR,3
Microsoft is promoting their Music Pass Costumers to Spotify but you're Mobile App is Crashing after 10Minutes of use and is not up-to-date.,App_Technical,AUTO_HANDLE,@SpotifyCares Microsoft is promoting their Music Pass Costumers to Spotify but you're Mobile App is Crashing after 10Minutes of use and is not up-to-date. https://t.co/KeGAIGe0dx,App_Technical,1.0,True,GOOD,3
"No, its just on pc that doesn't work. Reinstalled the app and cleared appdata folder, still not working",App_Technical,AUTO_HANDLE,"@SpotifyCares No, its just on pc that doesn't work. Reinstalled the app and cleared appdata folder, still not working",App_Technical,1.0,True,GOOD,3
"Please add the ""explicit"" tag to the following song spotify:track:021txSheRym293iUdf6vPZ at 50 seconds in is the F word",Music_Content,AUTO_HANDLE,"@SpotifyCares Please add the ""explicit"" tag to the following song spotify:track:021txSheRym293iUdf6vPZ at 50 seconds in is the F word",Music_Content,1.0,True,GOOD,3
My premium account just expired and I only realized this when I got hit with an advertisement. I didn't get any warnings either - maybe because I'm not the administrator of my family account?? That should likely be fixed.,Premium_Subscription,AUTO_HANDLE,My @115888 premium account just expired and I only realized this when I got hit with an advertisement. I didn't get any warnings either - maybe because I'm not the administrator of my family account?? That should likely be fixed.,Premium_Subscription,1.0,True,GOOD,3
Hey why does your app crash when I press play on any of my music??,App_Technical,AUTO_HANDLE,Hey @115888 why does your app crash when I press play on any of my music??,App_Technical,1.0,True,GOOD,3
hi. My account appears to have been hacked. How do I resolve this issues?,Account_Security,ESCALATE_TO_HUMAN,@116130 hi. My account appears to have been hacked. How do I resolve this issues?,Account_Security,1.0,True,GOOD,3
hey I paid for the £99 for a year subscription however when I go to my account settings it still says I am going to be charged £9.99 each month whats going on..? I don't want to pay twice!,Payment_Refund,ESCALATE_TO_HUMAN,hey @115888 I paid for the £99 for a year subscription however when I go to my account settings it still says I am going to be charged £9.99 each month whats going on..? I don't want to pay twice!,Payment_Refund,1.0,True,GOOD,3
"dear could you PLEASE PLEASE add ""Independent"" by Uppermost to Spotify itself, thank you so much if you do that.",Music_Content,AUTO_HANDLE,"dear @SpotifyCares could you PLEASE PLEASE add ""Independent"" by Uppermost to Spotify itself, thank you so much if you do that.",Feature_Request,1.0,False,POOR,3
"Guys, I can't log in! The reset password page doesn't recognise my email, but says it is attached to an account",Login_Issue,AUTO_HANDLE,"Guys, I can't log in! The reset password page doesn't recognise my email, but says it is attached to an account @SpotifyCares",Login_Issue,1.0,True,GOOD,3
when i push “shuffle” i actually want you to shuffle my songs. don’t act like you know me like that.,Playback_Issue,AUTO_HANDLE,@115888 when i push “shuffle” i actually want you to shuffle my songs. don’t act like you know me like that.,Playback_Issue,1.0,True,GOOD,3
Hey it'd be awesome if my account would not get hacked twice in three days 🖕.,Account_Security,ESCALATE_TO_HUMAN,Hey @115888 it'd be awesome if my account would not get hacked twice in three days 🖕.,Account_Security,1.0,True,GOOD,3
When will Harry’s cover of The Chain be put on Spotify I’m tired of waiting,Music_Content,AUTO_HANDLE,@115888 Can you put @3537 cover of The Chain by Fleetwood Mac on spotify thanks,Music_Content,0.3096,True,PARTIAL,1
I am unable to log in on your website. Pretty much everything i click on throws an error saying to many redirects. I have tried multiple browsers and cleared the cookies on them still no luck.,Login_Issue,AUTO_HANDLE,@SpotifyCares I am unable to log in on your website. Pretty much everything i click on throws an error saying to many redirects. I have tried multiple browsers and cleared the cookies on them still no luck.,Login_Issue,1.0,True,GOOD,3
so I went to try out the student discount for Hulu but they charged me even thought I didn’t sign up for it after all what’s going on??,Payment_Refund,ESCALATE_TO_HUMAN,@SpotifyCares so I went to try out the student discount for Hulu but they charged me even thought I didn’t sign up for it after all what’s going on??,Family_Student_Plan,1.0,False,POOR,3
I am still being charged on my visa card even after I have cancelled the subscription. Please give me refund.,Payment_Refund,ESCALATE_TO_HUMAN,@SpotifyCares I am still being charged on my visa card even after I have cancelled the subscription. Please give me refund.,Payment_Refund,1.0,True,GOOD,3
It would be great if you could block artists from radio.,Feature_Request,AUTO_HANDLE,It would be great if you could block artists from @115888 radio.,Feature_Request,1.0,True,GOOD,3
"Some albums won't play - it seems entirely random and I've tried on desktop and app, saving as well as downloading. It makes no sense.",Playback_Issue,AUTO_HANDLE,"@SpotifyCares Some albums won't play - it seems entirely random and I've tried on desktop and app, saving as well as downloading. It makes no sense.",Playback_Issue,1.0,True,GOOD,3
"please add a ""delete cache"" button...just had to uninstall app to free space on my phone!",Feature_Request,AUTO_HANDLE,"@115888 @SpotifyCares please add a ""delete cache"" button...just had to uninstall app to free space on my phone!",Feature_Request,1.0,True,GOOD,3
"why is the web player not working?? Keeps stopping randomly and won't play, driving me crazy 😤😤",Playback_Issue,AUTO_HANDLE,"@115888 why is the web player not working?? Keeps stopping randomly and won't play, driving me crazy 😤😤",Playback_Issue,1.0,True,GOOD,3
hey y'all can you please add tracks from blind guardian's nightfall on middle earth album to the might and myth: power metal playlist.,Music_Content,AUTO_HANDLE,@115888 @SpotifyCares hey y'all can you please add tracks from blind guardian's nightfall on middle earth album to the might and myth: power metal playlist.,Feature_Request,1.0,False,POOR,3
my app is not working,App_Technical,AUTO_HANDLE,@115888 my app is not working https://t.co/RmnssJocOG,App_Technical,1.0,True,GOOD,3
Have you been hacked? Yes or No?,Account_Security,ESCALATE_TO_HUMAN,@SpotifyCares Have you been hacked? Yes or No?,Account_Security,1.0,True,GOOD,3
Hey my android version of the app randomly pauses on its own. Just thought I'd report the bug.,App_Technical,AUTO_HANDLE,Hey @SpotifyCares my android version of the app randomly pauses on its own. Just thought I'd report the bug.,App_Technical,1.0,True,GOOD,3
ill cant log in and when i try to chabge my password it says the code timed out,Login_Issue,AUTO_HANDLE,@117153 ill cant log in and when i try to chabge my password it says the code timed out,Login_Issue,1.0,True,GOOD,3
"The only reason I pay for spotify is so I can listen to music offline, e.g. on the tube",Downloads_Offline,AUTO_HANDLE,"@SpotifyCares The only reason I pay for spotify is so I can listen to music offline, e.g. on the tube",Downloads_Offline,1.0,True,GOOD,3
"my friend signed up for premium, deducted the $4.99 but she’s still on the free account, it won’t let her go premium",Premium_Subscription,AUTO_HANDLE,"@SpotifyCares my friend signed up for premium, deducted the $4.99 but she’s still on the free account, it won’t let her go premium",Premium_Subscription,1.0,True,GOOD,3
Please add Again-Bruno Mars,Music_Content,AUTO_HANDLE,@115888 Please add Again-Bruno Mars,Feature_Request,1.0,False,POOR,3
I apologize for the confusion. I already have the web player downloaded. What I mean is there used to be add ons/apps within the app. One I recall was Pitchfork. I don't see them anymore. I'm trying to find ways to find music in other countries,Music_Content,AUTO_HANDLE,"@SpotifyCares I apologize for the confusion.  I already have the web player downloaded.  What I mean is there used to be add ons/apps within the app.  One I recall was Pitchfork.  I don't see them anymore.

I'm trying to find ways to find music in other countries",Music_Content,1.0,True,GOOD,3
help already storage location keeps changing and downloaded music is gone. No offline for me. Re-download every day?,Downloads_Offline,AUTO_HANDLE,@SpotifyCares help already  storage location keeps changing and downloaded music is gone.  No offline for me.  Re-download  every day?,Downloads_Offline,1.0,True,GOOD,3
put the new wdw ep on spotify come on,Music_Content,AUTO_HANDLE,@115888 put the new wdw ep on spotify come on,Music_Content,1.0,True,GOOD,3
"Hey why when I shuffle my whole library, do I only get stuff I’ve listened to recently? All filters off, etc.",Playback_Issue,AUTO_HANDLE,"Hey @115888 why when I shuffle my whole library, do I only get stuff I’ve listened to recently? All filters off, etc.",Playback_Issue,1.0,True,GOOD,3
"Just an idea. On their birthday, your premium users can legally downloaded songs from one of their playlist. Not offline download",Feature_Request,AUTO_HANDLE,"@115888 Just an idea. On their birthday, your premium users can legally downloaded songs from one of their playlist. Not offline download",Downloads_Offline,1.0,False,POOR,3
"Why I can't login to my spotify account? The username & password right, but keep back to login again after that",Login_Issue,AUTO_HANDLE,"Why I can't login to my spotify account? The username &amp; password right, but keep back to login again after that @SpotifyCares",Login_Issue,1.0,True,GOOD,3
"I created a Spotify account and have started paying for the premium package. However, I have forgotten my username and password and are unable to log in. I was wondering how I can cancel my payments? I can provide my bank details to possibly link it to my account",Login_Issue,AUTO_HANDLE,"I created a Spotify account and have started paying for the premium package. However, I have forgotten my username and password and are unable to log in. I was wondering how I can cancel my payments? I can provide my bank details to possibly link it to my account @116380",Login_Issue,1.0,True,GOOD,3
"I switched to an Android recently, and everytime I use the app in tje background/another app it crashes! #helpme",App_Technical,AUTO_HANDLE,"@SpotifyCares I switched to an Android recently, and everytime I use the app in tje background/another app it crashes! #helpme",App_Technical,1.0,True,GOOD,3
put perfect velvet on spotify already I'm tired,Music_Content,AUTO_HANDLE,@115888 put perfect velvet on spotify already I'm tired,Music_Content,1.0,True,GOOD,3
we can't log in,Login_Issue,AUTO_HANDLE,@SpotifyCares we can't log in,Login_Issue,1.0,True,GOOD,3
"can't login with my premium account on android system, says that experiencing problem",Login_Issue,AUTO_HANDLE,"@117153 can't login with my premium account on android system, says that experiencing problem",Login_Issue,1.0,True,GOOD,3
"account hacked, cant log in, contact number please?",Account_Security,ESCALATE_TO_HUMAN,"account hacked, cant log in, contact number please?
@116130 @116130",Account_Security,1.0,True,GOOD,3
"I’m a family plan member, how come when my wife is on it boots me off? It never used to.",Family_Student_Plan,AUTO_HANDLE,"@SpotifyCares I’m a family plan member, how come when my wife is on it boots me off? It never used to.",Family_Student_Plan,1.0,True,GOOD,3
And this is not set offline,Downloads_Offline,AUTO_HANDLE,@SpotifyCares And this is not set offline https://t.co/seEeBVAKb4,Downloads_Offline,1.0,True,GOOD,3
"got a new phone, premium subscription is not working. Need fix",Premium_Subscription,AUTO_HANDLE,"@117153 got a new phone, premium subscription is not working. Need fix",Premium_Subscription,1.0,True,GOOD,3
"hey i just paid for spotify premium but why my account still written ""free""",Premium_Subscription,AUTO_HANDLE,"@SpotifyCares hey i just paid for spotify premium but why my account still written ""free""",Premium_Subscription,1.0,True,GOOD,3
add a feature where we can see our most played songs and artists pleeeasseeeeee,Feature_Request,AUTO_HANDLE,@SpotifyCares add a feature where we can see our most played songs and artists pleeeasseeeeee,Feature_Request,1.0,True,GOOD,3
"What's happening with your music in , ?? Your songs won't play anymore... 🙁",Playback_Issue,AUTO_HANDLE,"What's happening with your music in @115888 , @131175 ?? Your songs won't play anymore... 🙁",Playback_Issue,1.0,True,GOOD,3
"Hey the app is crashing every time I try to share a playlist! Pixel, Android 8",App_Technical,AUTO_HANDLE,"@SpotifyCares Hey the app is crashing every time I try to share a playlist! Pixel, Android 8",App_Technical,1.0,True,GOOD,3
I have a free account w/ a long account name given by Spotify. On this account I have created multiple playlists. I want to purchase premium but am unable to access this free account (error mentions CRFA?). How do I get a new account and keep my playlists/history?,Premium_Subscription,ESCALATE_TO_HUMAN,@115888 I have a free account w/ a long account name given by Spotify. On this account I have created multiple playlists.  I want to purchase premium but am unable to access this free account (error mentions CRFA?).  How do I get a new account and keep my playlists/history?,Premium_Subscription,1.0,True,GOOD,3
why can't I activate the student discount?,Family_Student_Plan,AUTO_HANDLE,@SpotifyCares why can't I activate the student discount?,Family_Student_Plan,1.0,True,GOOD,3
- Yr App is killing my business. Keeps crashing/pple complaining/ music keeps stopping. Not happy😢😢😢,App_Technical,AUTO_HANDLE,@SpotifyCares - Yr App is killing my business. Keeps crashing/pple complaining/ music keeps stopping. Not happy😢😢😢,App_Technical,1.0,True,GOOD,3
you charged me twice for a month's sub. you charged me student and regular. Please reverse the charges for the student sub. Not impressed.,Payment_Refund,ESCALATE_TO_HUMAN,@SpotifyCares you charged me twice for a month's sub. you charged me student and regular. Please reverse the charges for the student sub. Not impressed.,Payment_Refund,1.0,True,GOOD,3
Sweet. I e-mailed The swedish support two weeks ago but they haven't answered. I keep getting logged out from my account and can't log in without reinstalling the app. This deletes all my downloaded playlists. What can I do?,Login_Issue,AUTO_HANDLE,@SpotifyCares Sweet. I e-mailed The swedish support two weeks ago but they haven't answered. I keep getting logged out from my account and can't log in without reinstalling the app. This deletes all my downloaded playlists. What can I do?,Login_Issue,1.0,True,GOOD,3
I am trying to sign up for a new account. ios app or web browser (safari&chrome) wont work. help!,App_Technical,AUTO_HANDLE,@115888 I am trying to sign up for a new account. ios app or web browser (safari&amp;chrome) wont work. help!,App_Technical,1.0,True,GOOD,3
my account (ccdap) has been hacked!,Account_Security,ESCALATE_TO_HUMAN,@SpotifyCares my account (ccdap) has been hacked!,Account_Security,1.0,True,GOOD,3
"My premium account, suddenly turn in to a free account, I have paid but I just can't go back to premium! I think it is cause of my address",Premium_Subscription,AUTO_HANDLE,"@SpotifyCares My premium account, suddenly turn in to a free account, I have paid but I just can't go back to premium! I think it is cause of my address",Premium_Subscription,1.0,True,GOOD,3
Hey I wanted to cancel my premium account but you already charged me before I wanted to cancel can I get a refund,Payment_Refund,ESCALATE_TO_HUMAN,Hey @SpotifyCares I wanted to cancel my premium account but you already charged me before I wanted to cancel can I get a refund,Payment_Refund,1.0,True,GOOD,3
"someone hacked my account and I've lost my playlists, can I retrieve them?",Account_Security,ESCALATE_TO_HUMAN,"@SpotifyCares someone hacked my account and I've lost my playlists, can I retrieve them?",Account_Security,1.0,True,GOOD,3
the last version of Spotify on IPhone crashes often. It is getting annoying. When will there be an update with bug fixes?,App_Technical,AUTO_HANDLE,@115888 the last version of Spotify on IPhone crashes often. It is getting annoying. When will there be an update with bug fixes?,App_Technical,1.0,True,GOOD,3
. Can y’all consider adding a feature where i can type in song lyrics to find a song if i forget the name 🤔,Feature_Request,AUTO_HANDLE,.@115888 Can y’all consider adding a feature where i can type in song lyrics to find a song if i forget the name 🤔,Music_Content,1.0,False,POOR,3
my account is being hacked. I want to delete this asap. Someone is creating playlists. Please help!,Account_Security,ESCALATE_TO_HUMAN,@115888 my account is being hacked. I want to delete this asap. Someone is creating playlists. Please help! https://t.co/SjicW6Tn5T,Account_Security,1.0,True,GOOD,3
"hi, I'm on the previous iOS to the latest. Just updated Spotify and now it won't open. Have restarted the phone and app with no luck. Is this a bug? Best to update to latest iOS?",App_Technical,AUTO_HANDLE,"@SpotifyCares hi, I'm on the previous iOS to the latest. Just updated Spotify and now it won't open. Have restarted the phone and app with no luck. Is this a bug? Best to update to latest iOS?",App_Technical,1.0,True,GOOD,3
got charged for premium but can’t listen to premium... can you please fix my problem I’m very sad.,Premium_Subscription,AUTO_HANDLE,@SpotifyCares got charged for premium but can’t listen to premium... can you please fix my problem I’m very sad.,Payment_Refund,1.0,False,POOR,3
"my card was charged, but I still don't have premium",Premium_Subscription,AUTO_HANDLE,"@SpotifyCares my card was charged, but I still don't have premium",Payment_Refund,1.0,False,POOR,3
"Hi , i can't login to my account, i want to reset my password and can't get the link on my email. Can you help me to check?",Login_Issue,AUTO_HANDLE,"Hi @SpotifyCares, i can't login to my account, i want to reset my password and can't get the link on my email. Can you help me to check?",Login_Issue,1.0,True,GOOD,3
stop charging me! Account cancelled months ago! How do I get a refund?,Payment_Refund,ESCALATE_TO_HUMAN,@115888 stop charging me! Account cancelled months ago! How do I get a refund?,Payment_Refund,1.0,True,GOOD,3
HELP! My account has been hacked and now the email address has been changed so I can’t reset the password.,Account_Security,ESCALATE_TO_HUMAN,@SpotifyCares HELP! My account has been hacked and now the email address has been changed so I can’t reset the password.,Account_Security,1.0,True,GOOD,3
"just received an email regarding my student premium membership, could you please check DMs? ☺️",Family_Student_Plan,AUTO_HANDLE,"@SpotifyCares just received an email regarding my student premium membership, could you please check DMs? ☺️",Family_Student_Plan,1.0,True,GOOD,3
"I don't have my facebook account linked to my spotify anymore, so now I can't log in. What can I do?",Login_Issue,AUTO_HANDLE,"@SpotifyCares I don't have my facebook account linked to my spotify anymore, so now I can't log in. What can I do?",Login_Issue,1.0,True,GOOD,3
Now I've been charged for Student twice. I'm not a student. Please contact me. Thanks! 🌊🌊🌊,Payment_Refund,ESCALATE_TO_HUMAN,@SpotifyCares @115888 Now I've been charged for Student twice. I'm not a student. Please contact me. Thanks! 🌊🌊🌊,Payment_Refund,1.0,True,GOOD,3
"I have a 2,000 song playlist on but I only hear about 30 of the same songs on shuffle.",Playback_Issue,AUTO_HANDLE,"I have a 2,000 song playlist on @115888 but I only hear about 30 of the same songs on shuffle.",Playback_Issue,1.0,True,GOOD,3
