text,intent,expected_action,human_intent,human_expected_action,review_status,review_notes
"Hey, . . . So, it's 2017, and you guys have THE killer music-streaming app . . . So tell me how I can truly randomize a 300-song shuffle on a 300-song playlist on my mobile device? Come on. Impress me. I fucking DARE you.",Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
all my saved music has been deleted for the second time in 2 weeks. Why is this happening? Can’t listen offline.,Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
I'd like a refund,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
Feature Request: Make it easy to separate singles from albums in new releases.,Feature_Request,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,APPROVED,
"Hello, i signed up to an existing Family plan, but my account dont upgrade...",Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
can you add a feature so I can block certain artists from my music feed? Like I never wanna hear the craptastic or ever again and ive been thumbing them down since signing up. #stopshittymusic,Music_Content,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,CORRECTED,"Customer explicitly requests a new app feature (artist blocking), not content addition."
Thanks. Did Webchat and they sorted it. I'd been hacked.,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
Am I the only one that has been charged twice this month by Spotify?,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
you should add a functionality: sort tracks by bpm. #asap,Feature_Request,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,APPROVED,
"I paid for a premium family plan, all the other accounts are working but my account does not receive the premium features. My account username is sarimr_12. Please help with this issue.",Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
is there a reason why you only accept Unidays and not for your student discount?,Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
"feature request: bluetooth pair w/ treadmill, adjust treadmill speed to my current song's BPM so I can always run to the beat. Playlists automatically become curated workouts",Feature_Request,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,APPROVED,
Hey i suscribed to Spotify Premium with the Student discount but i still don't have SpotifyPremium activated on my account,Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
is there a way to know if I’m adding a duplicate song within a folder of music?,Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
"What the hell, Canada?! I want to listen to some older albums at work, and it turns out a bunch of them are missing/unplayable! Users have confirmed they're available on Spotify USA. HE'S. CANADIAN. I'M. CANADIAN. Ugh, I hate this licensing crap.",Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
hey someone else has been in my account but i changed the PW so np but i was already premium but not anymore whats going on?,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
My account has been hacked and I'm locked out of both resetting my password and changing my email address. Any help you can offer?,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
the app keeps deleting offline/saved songs off of my phone with no warning. I have plenty of space on it. Samsung S6 Edge.,Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
"I just got kicked off my family plan and can’t get back on it. Every time I put in the confirmation, “something went wrong”",Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
have been charged twice $9.99 for a personal account when I want a family account for $14.99. Can you fix this...acct Cervelott,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
Maintenance? We can't login. 🙁,Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
can y’all put Beyoncé’s lemonade album on Spotify already 🤦🏻‍♀️,Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
Hey you should add music videos to your repertoire,Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
shuffle is broken. on playlists the app will play 10-20 songs off the same two albums if possible then switches to two other albums. doesn’t feel random at all when a large playlist with dozens of albums only shuffles through 2 at a time.,Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
"hey I wanted to cancel my subscription cause I can't afford it on my student budget, but instead y'all deactivated my account? I was hoping to start a family plan in January ;-;",Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
Hulu says it cannot authorize my spotify account when trying to sign for the student premium deal. Need help,Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
"have Premium for Family. Trying to set up daughter's profile, redeem code not working. Have resent invite twice. Please advise",Premium_Subscription,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,CORRECTED,"Issue is about Family plan member profile setup, not general premium billing."
Microsoft is promoting their Music Pass Costumers to Spotify but you're Mobile App is Crashing after 10Minutes of use and is not up-to-date.,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
"No, its just on pc that doesn't work. Reinstalled the app and cleared appdata folder, still not working",App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
"Please add the ""explicit"" tag to the following song spotify:track:021txSheRym293iUdf6vPZ at 50 seconds in is the F word",Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
My premium account just expired and I only realized this when I got hit with an advertisement. I didn't get any warnings either - maybe because I'm not the administrator of my family account?? That should likely be fixed.,Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
Hey why does your app crash when I press play on any of my music??,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
hi. My account appears to have been hacked. How do I resolve this issues?,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
hey I paid for the £99 for a year subscription however when I go to my account settings it still says I am going to be charged £9.99 each month whats going on..? I don't want to pay twice!,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
"dear could you PLEASE PLEASE add ""Independent"" by Uppermost to Spotify itself, thank you so much if you do that.",Feature_Request,AUTO_HANDLE,Music_Content,AUTO_HANDLE,CORRECTED,"Request to add a specific song to the catalog, not an app feature request."
"Guys, I can't log in! The reset password page doesn't recognise my email, but says it is attached to an account",Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
when i push “shuffle” i actually want you to shuffle my songs. don’t act like you know me like that.,Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
Hey it'd be awesome if my account would not get hacked twice in three days 🖕.,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
When will Harry’s cover of The Chain be put on Spotify I’m tired of waiting,Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
I am unable to log in on your website. Pretty much everything i click on throws an error saying to many redirects. I have tried multiple browsers and cleared the cookies on them still no luck.,Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
so I went to try out the student discount for Hulu but they charged me even thought I didn’t sign up for it after all what’s going on??,Family_Student_Plan,AUTO_HANDLE,Payment_Refund,ESCALATE_TO_HUMAN,CORRECTED,Core issue is an unauthorized/unexpected charge requiring billing investigation.
I am still being charged on my visa card even after I have cancelled the subscription. Please give me refund.,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
It would be great if you could block artists from radio.,Feature_Request,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,APPROVED,
"Some albums won't play - it seems entirely random and I've tried on desktop and app, saving as well as downloading. It makes no sense.",Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
"please add a ""delete cache"" button...just had to uninstall app to free space on my phone!",Feature_Request,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,APPROVED,
"why is the web player not working?? Keeps stopping randomly and won't play, driving me crazy 😤😤",Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
hey y'all can you please add tracks from blind guardian's nightfall on middle earth album to the might and myth: power metal playlist.,Feature_Request,AUTO_HANDLE,Music_Content,AUTO_HANDLE,CORRECTED,"Request to add specific tracks to a playlist is a content request, not a feature request."
my app is not working,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
Have you been hacked? Yes or No?,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
Hey my android version of the app randomly pauses on its own. Just thought I'd report the bug.,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
ill cant log in and when i try to chabge my password it says the code timed out,Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
"The only reason I pay for spotify is so I can listen to music offline, e.g. on the tube",Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
"my friend signed up for premium, deducted the $4.99 but she’s still on the free account, it won’t let her go premium",Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
Please add Again-Bruno Mars,Feature_Request,AUTO_HANDLE,Music_Content,AUTO_HANDLE,CORRECTED,"Request to add a specific song to the catalog, not an app feature request."
I apologize for the confusion. I already have the web player downloaded. What I mean is there used to be add ons/apps within the app. One I recall was Pitchfork. I don't see them anymore. I'm trying to find ways to find music in other countries,Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
help already storage location keeps changing and downloaded music is gone. No offline for me. Re-download every day?,Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
put the new wdw ep on spotify come on,Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
"Hey why when I shuffle my whole library, do I only get stuff I’ve listened to recently? All filters off, etc.",Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
"Just an idea. On their birthday, your premium users can legally downloaded songs from one of their playlist. Not offline download",Downloads_Offline,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,CORRECTED,"Message proposes a new capability ('just an idea'), not a report of broken offline/download functionality."
"Why I can't login to my spotify account? The username & password right, but keep back to login again after that",Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
"I created a Spotify account and have started paying for the premium package. However, I have forgotten my username and password and are unable to log in. I was wondering how I can cancel my payments? I can provide my bank details to possibly link it to my account",Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
"I switched to an Android recently, and everytime I use the app in tje background/another app it crashes! #helpme",App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
put perfect velvet on spotify already I'm tired,Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
we can't log in,Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
"can't login with my premium account on android system, says that experiencing problem",Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
"account hacked, cant log in, contact number please?",Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
"I’m a family plan member, how come when my wife is on it boots me off? It never used to.",Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
And this is not set offline,Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
"got a new phone, premium subscription is not working. Need fix",Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
"hey i just paid for spotify premium but why my account still written ""free""",Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
add a feature where we can see our most played songs and artists pleeeasseeeeee,Feature_Request,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,APPROVED,
"What's happening with your music in , ?? Your songs won't play anymore... 🙁",Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
"Hey the app is crashing every time I try to share a playlist! Pixel, Android 8",App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
I have a free account w/ a long account name given by Spotify. On this account I have created multiple playlists. I want to purchase premium but am unable to access this free account (error mentions CRFA?). How do I get a new account and keep my playlists/history?,Premium_Subscription,AUTO_HANDLE,Premium_Subscription,ESCALATE_TO_HUMAN,CORRECTED,"Involves an account-specific error code and merging/transferring playlists between accounts, requiring human investigation."
why can't I activate the student discount?,Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
- Yr App is killing my business. Keeps crashing/pple complaining/ music keeps stopping. Not happy😢😢😢,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
you charged me twice for a month's sub. you charged me student and regular. Please reverse the charges for the student sub. Not impressed.,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
Sweet. I e-mailed The swedish support two weeks ago but they haven't answered. I keep getting logged out from my account and can't log in without reinstalling the app. This deletes all my downloaded playlists. What can I do?,Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
I am trying to sign up for a new account. ios app or web browser (safari&chrome) wont work. help!,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
my account (ccdap) has been hacked!,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
"My premium account, suddenly turn in to a free account, I have paid but I just can't go back to premium! I think it is cause of my address",Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
Hey I wanted to cancel my premium account but you already charged me before I wanted to cancel can I get a refund,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
"someone hacked my account and I've lost my playlists, can I retrieve them?",Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
the last version of Spotify on IPhone crashes often. It is getting annoying. When will there be an update with bug fixes?,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
. Can y’all consider adding a feature where i can type in song lyrics to find a song if i forget the name 🤔,Music_Content,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,CORRECTED,"Customer requests a new lyric-search feature, not content addition."
my account is being hacked. I want to delete this asap. Someone is creating playlists. Please help!,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
"hi, I'm on the previous iOS to the latest. Just updated Spotify and now it won't open. Have restarted the phone and app with no luck. Is this a bug? Best to update to latest iOS?",App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
got charged for premium but can’t listen to premium... can you please fix my problem I’m very sad.,Payment_Refund,ESCALATE_TO_HUMAN,Premium_Subscription,AUTO_HANDLE,CORRECTED,"Issue is premium not activating after payment, a standard subscription sync issue, not a billing dispute."
"my card was charged, but I still don't have premium",Payment_Refund,ESCALATE_TO_HUMAN,Premium_Subscription,AUTO_HANDLE,CORRECTED,"Issue is premium not activating after payment, a standard subscription sync issue, not a billing dispute."
"Hi , i can't login to my account, i want to reset my password and can't get the link on my email. Can you help me to check?",Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
stop charging me! Account cancelled months ago! How do I get a refund?,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
HELP! My account has been hacked and now the email address has been changed so I can’t reset the password.,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
"just received an email regarding my student premium membership, could you please check DMs? ☺️",Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
"I don't have my facebook account linked to my spotify anymore, so now I can't log in. What can I do?",Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
Now I've been charged for Student twice. I'm not a student. Please contact me. Thanks! 🌊🌊🌊,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
"I have a 2,000 song playlist on but I only hear about 30 of the same songs on shuffle.",Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
Does anyone know how to contact ? Someone else is using my account even though I’ve repeatedly changed my password and email.,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
i already paid in cash for my spotify premium but my account is still free.,Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
"Hi, I’ve just bought Spotify premium but I’ve received two receipts, does this mean I’ve been charged twice?",Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
"Naka globe postpaid ako, mag spotify premium sana ako yung nadadagdag lang sa bill ko. Pwede ba yung student discount don? 65 per month.",Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
"your adds are more compressed, hasher and alot louder than the music. Sort that out ya nearly blew my ears out and nt near full vol",Music_Content,AUTO_HANDLE,App_Technical,AUTO_HANDLE,CORRECTED,"Complaint is about ad audio being technically too loud/distorted, not music catalog content."
I can't remember my password/email I used on my phone and I made a premium account using my student discount. How do I recover it?,Family_Student_Plan,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,CORRECTED,"Core issue is forgotten password/email preventing login, not plan management."
Android app asks to log on but when I try it says I'm set to offline. Then gets stuck in a loop. 7gb of downloads I need to access!,Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
your shuffle algorithm sucks please stop this madness and just shuffle my dang songs,Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
"your Mac based app is terrible, slow and constantly crashes. Latest updates have done nothing to improve it",App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
it says not available in offline mode ... its never done this before,Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
I can't login to my Spotify acct thru the Groove app to move my music over. Checked the credentials on my phone too,Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
"hello , i signed up for student premium and it went thru but i was charged twice on my card",Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
Hi I've been charged twice this month can you look into it for me?,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
"The app crashes everytime I try to share a song, then it restarts playing the previous song.",App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
Hey the App doesn't work since las update on November 29 on Adroid #OnePlus5T,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
Just subscribed for premium. Paid. Still only free account.,Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
I’ve sorted it now and cancelled but I want a refund because I haven’t used the account for about a year!,Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
Please add last.fm support for remote devices. Really shouldn't be that hard to implement from the backend.,Feature_Request,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,APPROVED,
pls help! Have paid for Premium sub via iTunes but app is not working. Have tried logging out/in & reinstalling to no avail :(,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
"That works. I just miss the functionality to select ""shuffle"" when first opening a playlist, the way it used to be.",Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
i know im offline but how exactly am i supposed to connect online when i try to log in n ur msg keeps tellin me to connect online?,Downloads_Offline,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,CORRECTED,Customer is trying to log in but blocked by an incorrect offline-status message; core issue is login access.
Could you please add Apple Safari support for the Web Player?,Feature_Request,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,APPROVED,
"hello, may I please get a refund? I cancelled your services and never meant for a premium subscription, thank you!",Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
"Hi, I can't login on android. App keeps telling me the device is offline. When I press""connect"", nothing happens. Please help",Downloads_Offline,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,CORRECTED,"Customer cannot log in; the app's offline-status message is a symptom, not the underlying issue."
"hi, do you happen to have any input on whether you'll put End Game (from Taylor Swift's reputation) on Spotify seperately from the album when it gets released as a single?",Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
"someone else is using my account/changing music and I've tried everything to stop it, please help asap it's scary af",Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
I can't log in and your website requires me to be logged in to submit a query via your contact form.,Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
Is your service currently offline?,Downloads_Offline,AUTO_HANDLE,App_Technical,AUTO_HANDLE,CORRECTED,"General question about service outage status, not personal offline downloads."
hey please add a #macOS notification for when a new song starts like what does,Music_Content,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,CORRECTED,"Request for a new notification feature, not content addition."
my 2 week premium has expired and it won’t let me upgrade to premium again how can resolve this problem ?,Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
please fix ur bug which doesn't allow me to shuffle anything when on 4g 🙃,Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
"Hey I submitted a subscription for your 3 months for $9.99 and the form said it didn't go through, but my bank says otherwise! I open spotify and still HAVE NO PREMIUM! What gives?!?",Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
"Hmm, that's the second time my android Spotify has forgotten half of the tracks I've downloaded for offline. What gives?",Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
"Please please please add Seo Taiji's Album ""Ultramania"" on spotify!!! did I say please?",Feature_Request,AUTO_HANDLE,Music_Content,AUTO_HANDLE,CORRECTED,"Request to add a specific album to the catalog, not an app feature request."
what’s wrong with your app.. songs keep crashing and skipping #spotify,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
been hacked need some help,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
accidentally refunded the payment&now I cant login on my spotify but I have payment transferred. Do I get my ac automatically🔙,Login_Issue,AUTO_HANDLE,Login_Issue,ESCALATE_TO_HUMAN,CORRECTED,"Involves a refund/payment mix-up tied to account access, requiring account-specific investigation."
mobile feature request - how about the possibility for folder creation on app just like full/web app. ^RJ,Feature_Request,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,APPROVED,
"Could you please add newest album New Wave to the new release list. Not seeing it at all sadly, its a great album",Feature_Request,AUTO_HANDLE,Music_Content,AUTO_HANDLE,CORRECTED,"Request to add a specific album to the catalog, not an app feature request."
Hey - is it possible to ACTUALLY shuffle music rather than just mix the 30/40 songs surrounding the one I selected?,Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
hi I’m supposed to have premium account till next year but it’s not working.. help yo girl out please and thank you,Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
could you please add these 2 songs by Logic (5 AM — Man of the year) thank you,Feature_Request,AUTO_HANDLE,Music_Content,AUTO_HANDLE,CORRECTED,"Request to add specific songs to the catalog, not an app feature request."
credit card hacked called you and reported Oct 23 still charging my card need support chatted w/ Mark R,Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
but I cannot recover my library. Please help. Don’t think I was hacked as password and email were not changed.,Account_Security,ESCALATE_TO_HUMAN,App_Technical,ESCALATE_TO_HUMAN,CORRECTED,Customer explicitly states this was not a hack; issue is lost library data requiring investigation.
"Hi, wondering if you can tell me why all my downloaded albums and playlists stop being available offline when I haven't listened for awhile? Thanks.",Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
and i have to restart the whole app then i press shuffle play it said you need premium to play the music,Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
"Add the Benny Benassi remix of ""Pretty Girls"" by wale, weensey from backyard and gucci mane. Can't live without this song it's the most unforgettable song in Project X",Music_Content,AUTO_HANDLE,Music_Content,AUTO_HANDLE,APPROVED,
