customer_tweet_id,customer_message,spotify_tweet_id,spotify_response,customer_message_clean,spotify_response_clean,intent
35390,Put Gfriend’s song “Me Gustas Tu” back on Spotify before I cry myself to sleep @115888 @SpotifyCares,35389,"@123720 Fingers crossed we'll have it available to you soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /KM",Put Gfriend’s song “Me Gustas Tu” back on Spotify before I cry myself to sleep,"Fingers crossed we'll have it available to you soon, but there's info about Spotify content here: /KM",Music_Content
36734,@SpotifyCares any idea why Spotify premium keeps saying ‘cannot play song’ on multiple tracks and artists?,36733,"@124012 Hey there! What device, operating system, and Spotify version are you using? We'll see what we can suggest /MA",any idea why Spotify premium keeps saying ‘cannot play song’ on multiple tracks and artists?,"Hey there! What device, operating system, and Spotify version are you using? We'll see what we can suggest /MA",Playback_Issue
37702,@115888 can you please add a feature to only view from releases from artist you follow.,37700,"@124188 Hey Rahger! Thanks for sharing your thoughts, we'll let the relevant folks know it's something you'd like to see /SY",can you please add a feature to only view from releases from artist you follow.,"Hey Rahger! Thanks for sharing your thoughts, we'll let the relevant folks know it's something you'd like to see /SY",Feature_Request
37701,@SpotifyCares can you please add a feature to only view releases from artist you follow.,37703,@124188 Don't worry - we'll make sure to pass your feedback on to the relevant folks 😁 /SY,can you please add a feature to only view releases from artist you follow.,Don't worry - we'll make sure to pass your feedback on to the relevant folks 😁 /SY,Feature_Request
37708,"hi @SpotifyCares i think im being charged twice, can you help??",37706,@124189 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /MA https://t.co/ldFdZRiNAt,"hi i think im being charged twice, can you help??",Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /MA,Payment_Refund
38936,Some idiot hacked my Spotify account and changed my email. Best believe I'm getting it back,38935,@124499 Hey Mark! We've sent a DM your way. Check your inbox for it /SJ,Some idiot hacked my Spotify account and changed my email. Best believe I'm getting it back,Hey Mark! We've sent a DM your way. Check your inbox for it /SJ,Account_Security
38943,@115888 @spotifycares Why don't you offer the same student discount to the teachers that teach the students? I'm sure @124439 would help.,38941,"@124502 Hi Jared, that'd be sweet! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /GK",Why don't you offer the same student discount to the teachers that teach the students? I'm sure would help.,"Hi Jared, that'd be sweet! Suggest it in our Community at and get support from other users /GK",Family_Student_Plan
38955,"@SpotifyCares Hi, I logged out of my Spotify last week. I logged back in the next day and my playlists have gone. Can you help? Thanks!",38954,@124505 Hey Jenny! Can you DM us your account's email address or username? We'll take a look backstage /JE https://t.co/ldFdZRiNAt,"Hi, I logged out of my Spotify last week. I logged back in the next day and my playlists have gone. Can you help? Thanks!",Hey Jenny! Can you DM us your account's email address or username? We'll take a look backstage /JE,Playlist_Library
39741,@SpotifyCares Got back in to find mobile downloaded playlist deleted and download setting switched off.,39740,@124703 Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /CP,Got back in to find mobile downloaded playlist deleted and download setting switched off.,Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help with this /CP,Downloads_Offline
39750,"@SpotifyCares Also: App sometimes suddenly just stops playing music altogether, related to that issues w/ Bluetooth devices (music also stops)",39748,@124704 Got it! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,"Also: App sometimes suddenly just stops playing music altogether, related to that issues w/ Bluetooth devices (music also stops)",Got it! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,Playback_Issue
43449,@SpotifyCares what's up with removing the browse/discover? It is the major reason I pay a premium family subscription!,43448,@125637 Hi! Can you send us a screenshot of what you're seeing through DM? We'll take a look under the hood /NH https://t.co/ldFdZRiNAt,what's up with removing the browse/discover? It is the major reason I pay a premium family subscription!,Hi! Can you send us a screenshot of what you're seeing through DM? We'll take a look under the hood /NH,Family_Student_Plan
43453,@SpotifyCares i invited a new family member to enjoy premium and it said invite came from a person with a different name. Help!,43452,@125639 Hey there! Can you DM us the email address and username for each account? We'll take a look backstage /KL https://t.co/ldFdZRiNAt,i invited a new family member to enjoy premium and it said invite came from a person with a different name. Help!,Hey there! Can you DM us the email address and username for each account? We'll take a look backstage /KL,Family_Student_Plan
43457,@SpotifyCares There are no error messages. Ill try to play it and it just wont and this isnt the first time. Im just wondering why I cant play it https://t.co/mbTJuQJj25,43456,@125641 We understand. Can you DM us your account's email address? We'll take a closer look /BE https://t.co/ldFdZRiNAt,There are no error messages. Ill try to play it and it just wont and this isnt the first time. Im just wondering why I cant play it,We understand. Can you DM us your account's email address? We'll take a closer look /BE,Playback_Issue
44302,@SpotifyCares I tweeted you earlier today and have not heard back. Someone else is using my account again. This is the second time in a week.,44301,@125849 We're sorry to hear that. This is something for our Account's team. You can reach them by heading to our contact form &gt; select Logging in &gt; I can't log in to Spotify &gt; I STILL NEED HELP /MG /MG,I tweeted you earlier today and have not heard back. Someone else is using my account again. This is the second time in a week.,We're sorry to hear that. This is something for our Account's team. You can reach them by heading to our contact form > select Logging in > I can't log in to Spotify > I STILL NEED HELP /MG /MG,Account_Security
44304,"Ah, wonderful. A random person is listening to my @115888 Premium account in France. No idea how I've been hacked, but suppose it can happen on any service.",44303,@125850 Hey Paul! We’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next. Feel free to send a tweet our way if you need us again /YM,"Ah, wonderful. A random person is listening to my Premium account in France. No idea how I've been hacked, but suppose it can happen on any service.",Hey Paul! We’re sorry to hear that. Check out for what to do next. Feel free to send a tweet our way if you need us again /YM,Account_Security
44671,"@SpotifyCares why i cant play my playlist folder on iphone app? You are SPOTIFY,guys do it please!",44669,"@121069 Hi there, the cavalry's here! Does logging out, restarting your device, and logging back into Spotify help? Keep us in the loop /JI","why i cant play my playlist folder on iphone app? You are SPOTIFY,guys do it please!","Hi there, the cavalry's here! Does logging out, restarting your device, and logging back into Spotify help? Keep us in the loop /JI",Playback_Issue
44674,@SpotifyCares can y’all add a feature where I can watch/ listen to adds for more skips? I’m too poor for premium,44673,@125915 Hey there! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /MX,can y’all add a feature where I can watch/ listen to adds for more skips? I’m too poor for premium,Hey there! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /MX,Feature_Request
45747,"Yo @115888, please add the album ""Guaranteed"" by Morris Day to your library!!",45746,"@126141 Hey! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /JP","Yo , please add the album ""Guaranteed"" by Morris Day to your library!!","Hey! We’d love to have all of their stuff available, but we have some info about content here: /JP",Feature_Request
50626,@116130 please can someone tell me how to get shuffle working properly? 😂🙈 what's happened to the app?!,50624,"@127359 Hey there! What's happening exactly? Can you let us know the device, operating system, and app version you're using? /PB",please can someone tell me how to get shuffle working properly? 😂🙈 what's happened to the app?!,"Hey there! What's happening exactly? Can you let us know the device, operating system, and app version you're using? /PB",Playback_Issue
50627,@SpotifyCares Same person) or a song followed by the remix of the same song. So frustrating I want random shuffle! It's the most recent app update on iOS,50628,"@127359 That's odd. Just to check, does it do the exact same thing when you shuffle it again? /MU",Same person) or a song followed by the remix of the same song. So frustrating I want random shuffle! It's the most recent app update on iOS,"That's odd. Just to check, does it do the exact same thing when you shuffle it again? /MU",Playback_Issue
51765,"@SpotifyCares Obviously they don't work. found workaround: Sort albums/artists by ""name"" then go back to ""songs"" &amp; shuffle again. THIS IS NOT IMPROVEMENT!",51764,"@127639 Thanks for letting us know. Rest assured, we'll definitely be passing your feedback on this to the right team! /CB","Obviously they don't work. found workaround: Sort albums/artists by ""name"" then go back to ""songs"" & shuffle again. THIS IS NOT IMPROVEMENT!","Thanks for letting us know. Rest assured, we'll definitely be passing your feedback on this to the right team! /CB",Playback_Issue
51767,@SpotifyCares Shuffling my entire library isn't giving me truly random shuffle. Fix it. smdh. 🤦‍♂️ about to go to pandora. Using Windows 8.1,51766,@127639 Hi Connor! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od /HR,Shuffling my entire library isn't giving me truly random shuffle. Fix it. smdh. 🤦‍♂️ about to go to pandora. Using Windows 8.1,Hi Connor! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: /HR,Playback_Issue
53711,@SpotifyCares Hey! I was kicked out of my family plan. How can I go back to Premium with that same plan?,53710,@128145 Hey Paula! Can you DM us your account's username and email address? We'll take a look backstage /JX https://t.co/ldFdZRiNAt,Hey! I was kicked out of my family plan. How can I go back to Premium with that same plan?,Hey Paula! Can you DM us your account's username and email address? We'll take a look backstage /JX,Family_Student_Plan
53718,"@SpotifyCares Nah, I have most my songs offline on my phone and it works perfectly perfect. And also nah, even Adobe Photoshop doesn't crash my laptop.",53717,@128147 We see. Can you DM us your account's username or email address? We'll take a look backstage /MC https://t.co/ldFdZRiNAt,"Nah, I have most my songs offline on my phone and it works perfectly perfect. And also nah, even Adobe Photoshop doesn't crash my laptop.",We see. Can you DM us your account's username or email address? We'll take a look backstage /MC,Downloads_Offline
54537,@115888 how do i change my premium account to a student premium one?,54536,"@128356 Hey, help's here! You can apply for the student discount at https://t.co/anKs5CbHuB. Let us know how it goes /ND",how do i change my premium account to a student premium one?,"Hey, help's here! You can apply for the student discount at Let us know how it goes /ND",Family_Student_Plan
57063,@SpotifyCares Tried that but none of it works. Album is Modal Soul by Nujabes in mp3 format. I can see the files in spotify but they just wont play.,57065,"@128930 Hmm. If possible, can you check if the same thing happens when using other devices? /JE",Tried that but none of it works. Album is Modal Soul by Nujabes in mp3 format. I can see the files in spotify but they just wont play.,"Hmm. If possible, can you check if the same thing happens when using other devices? /JE",Playback_Issue
57073,No longer getting the student discount from @115888 even though I'm still a student... Lame :(,57072,"@128932 Hey there, help's here! Can you DM us your account's email address? We'll take a look backstage /MV https://t.co/ldFdZRiNAt",No longer getting the student discount from even though I'm still a student... Lame :(,"Hey there, help's here! Can you DM us your account's email address? We'll take a look backstage /MV",Family_Student_Plan
58300,"@115888 Bring back your NUS partnership, my education doesn't support UniDays and I'm not paying full price when it should be half price 😆",58298,"@129240 Hey there! Thanks for sharing your feedback about this, we'll pass it on to the relevant folks /SY","Bring back your NUS partnership, my education doesn't support UniDays and I'm not paying full price when it should be half price 😆","Hey there! Thanks for sharing your feedback about this, we'll pass it on to the relevant folks /SY",Family_Student_Plan
60383,"@SpotifyCares feature request with more than 3000 votes, fully ignored https://t.co/agQ4FMrpBC",60382,@129808 Hey there! Thanks for sharing your thoughts. We can't make promises but we'll pass them both on to the respective teams /PB,"feature request with more than 3000 votes, fully ignored",Hey there! Thanks for sharing your thoughts. We can't make promises but we'll pass them both on to the respective teams /PB,Feature_Request
61165,@spotifycares please help! I just realized I’ve been getting double charged for my account since March!,61164,@130005 Hi there. Can you DM us your account's email address? We'll take a look backstage /LM https://t.co/ldFdZRiNAt,please help! I just realized I’ve been getting double charged for my account since March!,Hi there. Can you DM us your account's email address? We'll take a look backstage /LM,Payment_Refund
64367,@115888 why have you charged me £14.99 on the 18th of November as I upgraded my subscription and @118101 why have you then charged me £9.99 on the 26th of November for a standard premium spotify account. @118101 SORT OUT A REFUND ASAP!!!!,64366,@130774 Hey Imran. Can you send us a DM with your account's email address or username? We'll take a look behind the scenes /AY https://t.co/ldFdZRiNAt,why have you charged me £14.99 on the 18th of November as I upgraded my subscription and why have you then charged me £9.99 on the 26th of November for a standard premium spotify account. SORT OUT A REFUND ASAP!!!!,Hey Imran. Can you send us a DM with your account's email address or username? We'll take a look behind the scenes /AY,Payment_Refund
66003,"@SpotifyCares Another glib reply to a basic feature request that's been out there for years.  In the mean time my kids can hear the f, c and n words blaring out on the sonos.  If apple music can do it so can you.  In fact f it, I'm leaving spotify for Apple.",66001,"@131101 Sorry to hear you feel that way. We can guarantee you that your thoughts won't fall on deaf ears. If anything else comes up, let us know. We're here for you /AC","Another glib reply to a basic feature request that's been out there for years. In the mean time my kids can hear the f, c and n words blaring out on the sonos. If apple music can do it so can you. In fact f it, I'm leaving spotify for Apple.","Sorry to hear you feel that way. We can guarantee you that your thoughts won't fall on deaf ears. If anything else comes up, let us know. We're here for you /AC",Feature_Request
67667,"@SpotifyCares I think my account has been hacked, someone keeps playing music using Spotiamb 0.2.1 as a device - what do I do to resolve?",67666,"@131451 Hey, we’re sorry to hear that. Check out https://t.co/iVpg60w61i for what to do next /JN","I think my account has been hacked, someone keeps playing music using Spotiamb 0.2.1 as a device - what do I do to resolve?","Hey, we’re sorry to hear that. Check out for what to do next /JN",Account_Security
67669,Help me fam. I already paid for premium acct. For @115888 but its still in free trial?,67668,"@131452 Hey, help's here! Can you DM us your account's email address? We'll check backstage /GK https://t.co/ldFdZRiNAt",Help me fam. I already paid for premium acct. For but its still in free trial?,"Hey, help's here! Can you DM us your account's email address? We'll check backstage /GK",Premium_Subscription
72079,@SpotifyCares been getting this error for the last couple hours and cannot login without my Facebook account. Any help? https://t.co/1RBMlgUzVq,72078,"@132182 Hey Robby, help's here. Can you send us your account's email address or username via DM? We'll take a look under the hood /AY https://t.co/ldFdZRiNAt",been getting this error for the last couple hours and cannot login without my Facebook account. Any help?,"Hey Robby, help's here. Can you send us your account's email address or username via DM? We'll take a look under the hood /AY",Login_Issue
72082,"@SpotifyCares music stream stops playing (on mac) says that another device is playing.. would like to know which one… (I have sonos, ipad, iphone etc etc) so I can disconnect the other source",72080,@132183 Hmm. Could you send us your account's email address or username via DM? We'll take a look under the hood /AY https://t.co/ldFdZRiNAt,"music stream stops playing (on mac) says that another device is playing.. would like to know which one… (I have sonos, ipad, iphone etc etc) so I can disconnect the other source",Hmm. Could you send us your account's email address or username via DM? We'll take a look under the hood /AY,Playback_Issue
73727,"@SpotifyCares trying to add a family member to my subscription, but after logging in &amp; entering correct address details, I get the ""oops try again"" error. Tried multiple invites &amp; browsers",73726,"@132492 Hey, help's here. Can you send us your accounts' email addresses or usernames via DM? We'll take a look behind the scenes /AY https://t.co/ldFdZRiNAt","trying to add a family member to my subscription, but after logging in & entering correct address details, I get the ""oops try again"" error. Tried multiple invites & browsers","Hey, help's here. Can you send us your accounts' email addresses or usernames via DM? We'll take a look behind the scenes /AY",Family_Student_Plan
74905,@115888 offline download limit. WHAAT. WHAAT. WHAAAAAT.,74903,"@132762 Hey there! Right now, there's a download limit of 3,333 tracks on 3 separate devices. We have more info here: https://t.co/WpO5bMgnzC. Let us know if you have any other questions /DN",offline download limit. WHAAT. WHAAT. WHAAAAAT.,"Hey there! Right now, there's a download limit of 3,333 tracks on 3 separate devices. We have more info here: Let us know if you have any other questions /DN",Downloads_Offline
76242,@115888 @SpotifyCares I think my account has been hacked. Can you help. I've never used Firefox before and this kept popping up while I was listening on the go. Plus for a sketchy email https://t.co/z6jfe7q03J,76241,@133056 We’re sorry to hear that. Check out https://t.co/iVpg60w61i for what to do next /I,I think my account has been hacked. Can you help. I've never used Firefox before and this kept popping up while I was listening on the go. Plus for a sketchy email,We’re sorry to hear that. Check out for what to do next /I,Account_Security
76250,@SpotifyCares I just tried renewing my subscription and it charged me twice and hasn’t renewed it 🤔 sos,76249,@133060 Hey Jac! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /PK https://t.co/ldFdZRiNAt,I just tried renewing my subscription and it charged me twice and hasn’t renewed it 🤔 sos,Hey Jac! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /PK,Payment_Refund
79396,@SpotifyCares why doesn’t your shuffle function completely randomise playlists? It will just shuffle about 20 songs in a playlist of 3000 songs...,79395,"@133623 Hey Ellie! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /PL",why doesn’t your shuffle function completely randomise playlists? It will just shuffle about 20 songs in a playlist of 3000 songs...,"Hey Ellie! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /PL",Playback_Issue
79447,@116130  Just noticed all my playlists are gone.  Possibly due to switch to a new phone.  Help please?!,79445,"@133630 Hey Claire, we're here to help! Can you DM us your account's username or email address? We'll take a look backstage /LS https://t.co/ldFdZRiNAt",Just noticed all my playlists are gone. Possibly due to switch to a new phone. Help please?!,"Hey Claire, we're here to help! Can you DM us your account's username or email address? We'll take a look backstage /LS",Playlist_Library
80919,@SpotifyCares I had Spotify family but when I went to pay it just charged for a single plan. I don’t want to pay twice. What to do?,80918,@133957 Hey! We've just replied to your DM. We'll carry on helping out there /MU,I had Spotify family but when I went to pay it just charged for a single plan. I don’t want to pay twice. What to do?,Hey! We've just replied to your DM. We'll carry on helping out there /MU,Payment_Refund
80924,"@117153 Hi, Spotify. I applied for the student discount premium, got approved via email, and was already charged on my credit card but my account's subscription is still ""free"". I tried logging out everywhere/ sign in again but still it doesnt work. What else can I do?🙂",80923,"@133960 Hey Bella, help's here! Can you DM us your account's username or email address? We'll take a look backstage /PL https://t.co/ldFdZRiNAt","Hi, Spotify. I applied for the student discount premium, got approved via email, and was already charged on my credit card but my account's subscription is still ""free"". I tried logging out everywhere/ sign in again but still it doesnt work. What else can I do?🙂","Hey Bella, help's here! Can you DM us your account's username or email address? We'll take a look backstage /PL",Family_Student_Plan
83723,"#feature request for @115888 

As a user
I want to see MY playlists that contain a song
when I search for it in the search bar",83722,@134394 Nice idea! It's definitely something for the team to consider and we'll make sure it reaches them. Keep rocking /MX,#feature request for As a user I want to see MY playlists that contain a song when I search for it in the search bar,Nice idea! It's definitely something for the team to consider and we'll make sure it reaches them. Keep rocking /MX,Feature_Request
86377,@SpotifyCares iPhone 6s with the most current operating system and Spotify version with a premium family account,86379,"@134860 Thanks. Can you get back to us with the exact version of Spotify you're using? To get this info, just go to Your Music &gt; Settings &gt; About /AG",iPhone 6s with the most current operating system and Spotify version with a premium family account,"Thanks. Can you get back to us with the exact version of Spotify you're using? To get this info, just go to Your Music > Settings > About /AG",Family_Student_Plan
86391,@SpotifyCares see screenshot below - 'premium for family' page not working in internet explorer. Please can you fix so I can add a family member? Thanks https://t.co/SeQhFiUIvy,86390,@134862 Hey Jade! Can you try giving it another go using a different web browser or an incognito/private window? Does that help? /RE,see screenshot below - 'premium for family' page not working in internet explorer. Please can you fix so I can add a family member? Thanks,Hey Jade! Can you try giving it another go using a different web browser or an incognito/private window? Does that help? /RE,Family_Student_Plan
86393,"@SpotifyCares Hi, I registered for Spotify's student discount a couple of weeks ago and sent in my details. They were verified by SheerID on the 13th Nov, however at that moment I forgot to click the link in the email to finalize the process. Now it's not working, is it too late?",86392,"@134863 Hi Felicia! We can help out with this, don't worry. To get started, just DM us your account's email address. We'll have a look backstage /SD https://t.co/ldFdZRiNAt","Hi, I registered for Spotify's student discount a couple of weeks ago and sent in my details. They were verified by SheerID on the 13th Nov, however at that moment I forgot to click the link in the email to finalize the process. Now it's not working, is it too late?","Hi Felicia! We can help out with this, don't worry. To get started, just DM us your account's email address. We'll have a look backstage /SD",Family_Student_Plan
86413,"@SpotifyCares - Some lovely human hacked my account and changed my login credentials. Luckily this morning I had an antiquated circle called a cd, but I won’t last long without infinite variety. Help! 

#hacked #spotify #help",86412,"@134870 Hey Summer, this doesn't sound good! Could you send us a DM with your account's username or email address? We'll take a look backstage 🔍 /DB https://t.co/ldFdZRiNAt","- Some lovely human hacked my account and changed my login credentials. Luckily this morning I had an antiquated circle called a cd, but I won’t last long without infinite variety. Help! #hacked #spotify #help","Hey Summer, this doesn't sound good! Could you send us a DM with your account's username or email address? We'll take a look backstage 🔍 /DB",Account_Security
86415,@SpotifyCares why did the app take €15 off me for premium (both regular premium and student premium) when my college is not on the list so I am not eligible for the student one?????? If I’ve paid for a student one I want my money back for the regular one then.,86414,@134871 Hey there! That doesn't sound good. Could you send us a DM with your account's email address? We'll take a look backstage /QI https://t.co/ldFdZRiNAt,why did the app take €15 off me for premium (both regular premium and student premium) when my college is not on the list so I am not eligible for the student one?????? If I’ve paid for a student one I want my money back for the regular one then.,Hey there! That doesn't sound good. Could you send us a DM with your account's email address? We'll take a look backstage /QI,Family_Student_Plan
89549,@spotifycares I think my account got hacked. But I can't contact you. Advise.,89547,@135369 Hey there! That doesn't sound good. Can you DM us your account's email address or username? We'll take a look backstage /PB https://t.co/ldFdZRiNAt,I think my account got hacked. But I can't contact you. Advise.,Hey there! That doesn't sound good. Can you DM us your account's email address or username? We'll take a look backstage /PB,Account_Security
89564,@SpotifyCares Why have I been charged twice for my subscription this month?,89563,@135372 Hi Marc. That doesn't sound good. Can you DM us your account's email address or username? We'll take a look under the hood /XF https://t.co/ldFdZRiNAt,Why have I been charged twice for my subscription this month?,Hi Marc. That doesn't sound good. Can you DM us your account's email address or username? We'll take a look under the hood /XF,Payment_Refund
93870,"All of my @115888 downloads disappeared overnight, from both authorized devices. The Spotify support page on this subject suggests a few possibilities, none apply to me. That is a huge user experience problem.",93869,"@136356 Hi Derek! Can you let us know your device, operating system, and Spotify version? We'll take a look under the hood /XF","All of my downloads disappeared overnight, from both authorized devices. The Spotify support page on this subject suggests a few possibilities, none apply to me. That is a huge user experience problem.","Hi Derek! Can you let us know your device, operating system, and Spotify version? We'll take a look under the hood /XF",Downloads_Offline
