customer_tweet_id,customer_message,spotify_tweet_id,spotify_response,customer_message_clean,spotify_response_clean,cluster
1865849,put acid rap on Spotify pls ;)))) @167274 @115888,1865848,"@557436 Hi Shelby! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /LP",put acid rap on Spotify pls ;)))),"Hi Shelby! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /LP",2
1982444,@115888 Im feeling so fucking down rn I WANT GOT7 I NEED THEM,1982442,"@586807 Hey there! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /CG",Im feeling so fucking down rn I WANT GOT7 I NEED THEM,"Hey there! We’d love to have all of their stuff available, but we have some info about content here: /CG",0
1865013,@SpotifyCares I'm trying to add a family memeber to our family plan and it's saying the email address is in incorrect format.  It's not.,1865012,"@557195 Hey Jim, help's here! Could you DM us your username and email address? We'll take a look backstage for you /BX https://t.co/ldFdZRiNAt",I'm trying to add a family memeber to our family plan and it's saying the email address is in incorrect format. It's not.,"Hey Jim, help's here! Could you DM us your username and email address? We'll take a look backstage for you /BX",1
1522820,I heard @115888 wants to cancel videos?? Please don't! Traffic Jams was dope! And I really want to see the @62966 one @473199,1522819,"@128214 Hey Peter! We don't have any info on this right now, but we'll be sure to announce any news at https://t.co/8zO4WCXX7C /MS",I heard wants to cancel videos?? Please don't! Traffic Jams was dope! And I really want to see the one,"Hey Peter! We don't have any info on this right now, but we'll be sure to announce any news at /MS",0
1033340,@SpotifyCares help me I lost my Hulu privileges and my bank account when negative cuz y’all overcharged me  the regular price not Student.😭,1033339,"@364482 Hey, help's here! We've just sent a DM your way. Let's carry on chatting there /NQ",help me I lost my Hulu privileges and my bank account when negative cuz y’all overcharged me the regular price not Student.😭,"Hey, help's here! We've just sent a DM your way. Let's carry on chatting there /NQ",9
399248,@115888 why does my Spotify play one song and then just stop and when I go to press play it won’t let me ???,399247,"@210390 Hey Brianna, that's not cool! Can you let us know the device/OS and Spotify version you're rocking? We'll see what we can suggest /GN",why does my Spotify play one song and then just stop and when I go to press play it won’t let me ???,"Hey Brianna, that's not cool! Can you let us know the device/OS and Spotify version you're rocking? We'll see what we can suggest /GN",6
1520029,Can anyone please help? https://t.co/hWbYXjDnGQ,1520028,"@472548 Hey Mark! You can follow the steps found under ""Can I import my iTunes library?"" at https://t.co/SgMwFS1ONz 😉 /SY",Can anyone please help?,"Hey Mark! You can follow the steps found under ""Can I import my iTunes library?"" at 😉 /SY",0
2964682,"@SpotifyCares I'm not really getting any error messages, it just won't let me play anything https://t.co/gG6uDgQTRx",2964683,"@817967 Hmm, that's odd. Does this happen on a public/private WiFi connection? Also, can you try using the web player on a different device such as a desktop computer? /FD","I'm not really getting any error messages, it just won't let me play anything","Hmm, that's odd. Does this happen on a public/private WiFi connection? Also, can you try using the web player on a different device such as a desktop computer? /FD",6
1827806,"@SpotifyCares guys i have been charged twice for the student premium account, my paper work was accepted and i dont have Premium yet https://t.co/MakW6nlwK7",1827805,"@548561 Hi there, help's here. Can you fire over your account's email address via DM? We'll take a look backstage and see what we can suggest /NY https://t.co/ldFdZRiNAt","guys i have been charged twice for the student premium account, my paper work was accepted and i dont have Premium yet","Hi there, help's here. Can you fire over your account's email address via DM? We'll take a look backstage and see what we can suggest /NY",7
1884207,@115888 should add “To get to You” by Johan Glossner ft. frida Winsth so I can listen to it in the car 😌 #please,1884206,"@562215 Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /NQ",should add “To get to You” by Johan Glossner ft. frida Winsth so I can listen to it in the car 😌 #please,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /NQ",5
2390528,@115888 I have nus card but can't get the student discount because I need a unidays? Im a mature student and they dont give us the .ac email address 😥,2390527,"@688609 2: If you don't have an institution email, we suggest contacting UNiDAYS support at https://t.co/QjZHD4jDVM /HC",I have nus card but can't get the student discount because I need a unidays? Im a mature student and they dont give us the .ac email address 😥,"2: If you don't have an institution email, we suggest contacting UNiDAYS support at /HC",9
2004643,@115888 can u please put Red Barz by @197548 on Spotify,2004642,"@592792 Hi there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /MT",can u please put Red Barz by on Spotify,"Hi there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /MT",2
1293202,@SpotifyCares And this is not set offline https://t.co/seEeBVAKb4,1293205,@422419 Thanks for the info. Can you try giving your iPhone a quick restart? Let us know if it make any difference /SY,And this is not set offline,Thanks for the info. Can you try giving your iPhone a quick restart? Let us know if it make any difference /SY,0
203118,@SpotifyCares That big green shuffle button should be Play not shuffle https://t.co/7E4hp6osJ8,203117,@164066 We can see how that’d be useful! You can vote for a similar idea here: https://t.co/I0Wem16yzo /CP,That big green shuffle button should be Play not shuffle,We can see how that’d be useful! You can vote for a similar idea here: /CP,6
2259618,"@115888 give me taylor swift’s new album, plz plz",2259617,"@657975 Hi, Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /RB","give me taylor swift’s new album, plz plz","Hi, Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: /RB",4
980827,@115888 Would be great if you guys actually accepted PayPal for student premium.,980826,"@352559 Hey! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ",Would be great if you guys actually accepted PayPal for student premium.,"Hey! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ",7
2616755,"@SpotifyCares Can't vote on it, Status Update there implies the ""internal teams"" don't really care to implement it. Shame, another thing Deezer is superior at.",2616757,"@133572 Sorry you feel that way. Don't worry, we'll let the right team know it's something you'd like to see. Hopefully this'll be possible soon. For now, let us know if we can help with anything else /MC","Can't vote on it, Status Update there implies the ""internal teams"" don't really care to implement it. Shame, another thing Deezer is superior at.","Sorry you feel that way. Don't worry, we'll let the right team know it's something you'd like to see. Hopefully this'll be possible soon. For now, let us know if we can help with anything else /MC",0
2734620,@SpotifyCares Is the service down? All my devices have logged themselves out and I'm unable to log back in or reset my password.,2734619,"@766428 Hey Jon! Do you get an error message when trying to log back in? Also, can you DM us your account's email address? We'll take a look backstage /SJ https://t.co/ldFdZRiNAt",Is the service down? All my devices have logged themselves out and I'm unable to log back in or reset my password.,"Hey Jon! Do you get an error message when trying to log back in? Also, can you DM us your account's email address? We'll take a look backstage /SJ",0
1544671,"@SpotifyCares i have an iPhone 6! It's working now, thank you :)",1544670,"@478439 Awesome! You're welcome. If you need anything else, just give us a shout 🙂 /RA","i have an iPhone 6! It's working now, thank you :)","Awesome! You're welcome. If you need anything else, just give us a shout 🙂 /RA",3
1917496,@7276 @115888 @642 please help me on this.,1917495,@571080 Hi Issa! Could you send us a DM with your account's email address or username? We'll take a look backstage /DR https://t.co/ldFdZRiNAt,please help me on this.,Hi Issa! Could you send us a DM with your account's email address or username? We'll take a look backstage /DR,0
898869,"@115888 since the update whenever I listen to Spotify in the car and adjust the car stereo volume it pauses Spotify, never used to do this",898867,"@333427 Hey Nathan! That doesn't sound good. Can you let us know the device, operating system, and Spotify version you're using? /LO","since the update whenever I listen to Spotify in the car and adjust the car stereo volume it pauses Spotify, never used to do this","Hey Nathan! That doesn't sound good. Can you let us know the device, operating system, and Spotify version you're using? /LO",2
2909843,Why doesn’t @115888 have a help number?!?,2909842,@805594 Hey Alex! We currently don't offer phone support but are more than happy to help you out here. Can you tell us what's going on? /TF,Why doesn’t have a help number?!?,Hey Alex! We currently don't offer phone support but are more than happy to help you out here. Can you tell us what's going on? /TF,0
806576,I want @23266 version of sweet like chocolate on @115888 😔,806575,"@312204 Hey Kyle! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /CG",I want version of sweet like chocolate on 😔,"Hey Kyle! We’d love to have all of their stuff available, but we have some info about content here: /CG",0
286951,Hey @115888 why is 'Blurred Lines' in your playlist entitled 'Happy Tunes'?  I can't really label it as 'happy' https://t.co/M6sNvDn0dO https://t.co/UhZYjUlm03,286952,"@184374 1: Hey Anne, thanks for the feedback! Our Curation team are independent &amp; use taste, data, research, and trends to...",Hey why is 'Blurred Lines' in your playlist entitled 'Happy Tunes'? I can't really label it as 'happy',"1: Hey Anne, thanks for the feedback! Our Curation team are independent & use taste, data, research, and trends to...",0
2203776,@115888. Fuck you spotify https://t.co/RkmbbKlSUO,2203775,@644383 Hey there! This doesn't sound good. What issues are you having and on what device? We'll see what we can suggest /JI,. Fuck you spotify,Hey there! This doesn't sound good. What issues are you having and on what device? We'll see what we can suggest /JI,2
1871484,@SpotifyCares Why isn't it available tho?,1871486,@558881 This is due to various licensing reasons. Hopefully Spotify will be available there soon /LO,Why isn't it available tho?,This is due to various licensing reasons. Hopefully Spotify will be available there soon /LO,0
526269,@SpotifyCares Thanks. None of those seem to apply. I don’t get an error about &gt;3333 downloads,526266,@241769 We understand. Have you already downloaded music on 3 other devices? You can check how many offline devices you have here: https://t.co/8WYo44DHWG. Hope this helps /AP,Thanks. None of those seem to apply. I don’t get an error about >3333 downloads,We understand. Have you already downloaded music on 3 other devices? You can check how many offline devices you have here: Hope this helps /AP,8
2052524,@115888 hey what’s going on with my Hulu student account ? What’s the “error”?,2052523,"@607014 Hey, help's here! Could you DM us your email address and username? We'll take a closer look /JQ https://t.co/ldFdZR1cbT",hey what’s going on with my Hulu student account ? What’s the “error”?,"Hey, help's here! Could you DM us your email address and username? We'll take a closer look /JQ",9
2976133,@125633 Hope u add my music one day ❤️,2976131,@496717 Hey there! This sounds like something for our Artist Services friends. You can reach out to them here: https://t.co/3j9HWSEG0s /KP,Hope u add my music one day ❤️,Hey there! This sounds like something for our Artist Services friends. You can reach out to them here: /KP,5
1096206,@SpotifyCares are you guys aware that Spotify immediately crashes on Android 8.0 when using the share feature? #pleasefix #help #qatesting,1096205,"@378676 Hey there! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated. Keep rocking 🤘 /MQ",are you guys aware that Spotify immediately crashes on Android 8.0 when using the share feature? #pleasefix #help #qatesting,"Hey there! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated. Keep rocking 🤘 /MQ",5
2670121,@SpotifyCares It’s ok. Turns out Spotify needed an update too 👍👍,2670123,@751974 Nice! We're glad it's working now. Now let's... https://t.co/flUnoJ2P8u /DR,It’s ok. Turns out Spotify needed an update too 👍👍,Nice! We're glad it's working now. Now let's... /DR,2
1962120,@SpotifyCares my Spotify says it is linked with another psn and I can’t link it with mine. Is there a way to revoke that to link my account?,1962121,"@581849 2: should be able to lend a hand. If you need help with anything else about your Spotify account, just give a shout 🙂 /CH",my Spotify says it is linked with another psn and I can’t link it with mine. Is there a way to revoke that to link my account?,"2: should be able to lend a hand. If you need help with anything else about your Spotify account, just give a shout 🙂 /CH",9
468346,"@115888 What do the premium subscribers get? They get screwed over, right?",1790129,@537724 Hi Paul! We're here to help. Can you DM us your account's email address and a bit more info about what's going on? We'll see what we can suggest /DD https://t.co/ldFdZRiNAt,"What do the premium subscribers get? They get screwed over, right?",Hi Paul! We're here to help. Can you DM us your account's email address and a bit more info about what's going on? We'll see what we can suggest /DD,7
2001682,@SpotifyCares Planning to release an iPhone X update for the app?,2001681,"@591888 Hi! We're afraid we don't have news about this. We'll let our devs know it's something you'd like to see. For anything else, let us know /GU",Planning to release an iPhone X update for the app?,"Hi! We're afraid we don't have news about this. We'll let our devs know it's something you'd like to see. For anything else, let us know /GU",0
1592990,@SpotifyCares Okay Thank you for your fast response :) have a Good one,1592989,@489595 No worries! Just give us a shout if you have other questions. We're... https://t.co/zOXI69QSqg /JU,Okay Thank you for your fast response :) have a Good one,No worries! Just give us a shout if you have other questions. We're... /JU,3
1016527,@115888 what’s up about launching spotify in India #spotify,1016529,"@360517 1: Hi! We don't have news on when we're landing in India, but we're launching in new countries as often as possible. Be sure to add...",what’s up about launching spotify in India #spotify,"1: Hi! We don't have news on when we're landing in India, but we're launching in new countries as often as possible. Be sure to add...",2
378732,@SpotifyCares And how does that help me? It does not addresses my issue. Seems you have some inability to scale beyond 10 000 songs,378734,"@205881 2: remainder of the collection will move into alphabetized playlists, not into Your Music. Hope that clears things up /JS",And how does that help me? It does not addresses my issue. Seems you have some inability to scale beyond 10 000 songs,"2: remainder of the collection will move into alphabetized playlists, not into Your Music. Hope that clears things up /JS",6
1942605,"@SpotifyCares my acct keeps telling me I can’t download any more songs, so I un-downloaded a bunch but it’s still saying I have no room :(",1942603,"@238856 Hey! Which device/OS and Spotify version are you using? If you can also send us a screenshot of what you're seeing, that'll be helpful /YM","my acct keeps telling me I can’t download any more songs, so I un-downloaded a bunch but it’s still saying I have no room :(","Hey! Which device/OS and Spotify version are you using? If you can also send us a screenshot of what you're seeing, that'll be helpful /YM",0
796692,@SpotifyCares It is an #amazing album. @35357 at his finest,796694,@309982 We'd love to have it on Spotify! Fingers crossed it'll soon be available to us 👍 /RK,It is an #amazing album. at his finest,We'd love to have it on Spotify! Fingers crossed it'll soon be available to us 👍 /RK,4
166634,"@SpotifyCares why dont you have Tool in your Music database, i need Tool in my life, you need tool in your life so lets get much Tool.",166632,"@154708 Hey there! We’d love to have their stuff available, but we have some info about content here: https://t.co/0i8GpimuDa. Hope this info helps /KL","why dont you have Tool in your Music database, i need Tool in my life, you need tool in your life so lets get much Tool.","Hey there! We’d love to have their stuff available, but we have some info about content here: Hope this info helps /KL",5
2857447,"@SpotifyCares  I need help with an account I don't know the email address for,",2857446,"@794163 Hey Jim! Can you DM us your account's username? If you've created it via Facebook, can you send us your profile link and email address? We'll take a look backstage /SJ https://t.co/ldFdZRiNAt","I need help with an account I don't know the email address for,","Hey Jim! Can you DM us your account's username? If you've created it via Facebook, can you send us your profile link and email address? We'll take a look backstage /SJ",9
2457273,"Listen, does @115888 randomly decide to cut your music off on random songs like @118721 does cuz this keeps happening to good songs and I can never listen to the end.",2457271,"@570909 Hey there! The cavalry's here. Could you tell us your device's make/model, operating system, and Spotify version? /KB","Listen, does randomly decide to cut your music off on random songs like does cuz this keeps happening to good songs and I can never listen to the end.","Hey there! The cavalry's here. Could you tell us your device's make/model, operating system, and Spotify version? /KB",6
1302442,@115888 Does it work in Thailand and Cambodia?,1396379,"@444713 1: Hi there! You can check out more info by going here: https://t.co/YYABW2x2Er. Also, if you have an unrestricted internet...",Does it work in Thailand and Cambodia?,"1: Hi there! You can check out more info by going here: Also, if you have an unrestricted internet...",6
141184,@SpotifyCares Can I do it on the app though or? Thank you,141180,@147839 It's currently not possible to update your payment details directly through the app. You can do it through our website at: https://t.co/B1W1abMc4b /SV,Can I do it on the app though or? Thank you,It's currently not possible to update your payment details directly through the app. You can do it through our website at: /SV,3
653112,"@SpotifyCares Thank you so much for resolving this issue! Much better, great work @115888 !",653114,"@275306 Anytime! If you ever need anything else, just shout and we'll come running 🏃 /MX","Thank you so much for resolving this issue! Much better, great work !","Anytime! If you ever need anything else, just shout and we'll come running 🏃 /MX",3
166614,@SpotifyCares I joined a Family plan and updated my address to reflect my current home address but it does not update my home zip code in my account.,166612,"@154703 Hey Rob! Not to worry, you can update it by logging in at https://t.co/SC3eGkHX7h and clicking Edit Profile. Hope this helps /JP",I joined a Family plan and updated my address to reflect my current home address but it does not update my home zip code in my account.,"Hey Rob! Not to worry, you can update it by logging in at and clicking Edit Profile. Hope this helps /JP",1
2203780,How do I️ access my Spotify premium account if it doesn’t recognize my Facebook profile or any of the emails I️ could’ve potentially made my account with @SpotifyCares ? I️t doesn’t recognize any of the potentially usernames I️ made for the account either. Please help!,2203779,@644385 Hey Lauren! Apologies for the delay. We've just sent a DM your way. Let's carry on chatting there /CP,How do I️ access my Spotify premium account if it doesn’t recognize my Facebook profile or any of the emails I️ could’ve potentially made my account with ? I️t doesn’t recognize any of the potentially usernames I️ made for the account either. Please help!,Hey Lauren! Apologies for the delay. We've just sent a DM your way. Let's carry on chatting there /CP,9
2662920,"@SpotifyCares hi, I sent a message to you. Please kindly help, thanks! 🙂",2662919,@750472 Hey Dyna! We've just sent you a DM. Let's continue chatting there /NS,"hi, I sent a message to you. Please kindly help, thanks! 🙂",Hey Dyna! We've just sent you a DM. Let's continue chatting there /NS,8
2288008,Requesting @115888 @15428 please add Adore in spotify huhu,2288007,"@664738 Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /NQ",Requesting please add Adore in spotify huhu,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /NQ",2
2457261,@SpotifyCares shuffle play isn’t working on mobile. Also my discover weekly is the same as last week. Any thoughts?,2457260,@267786 Hey there! Can you DM us your account's email address? We'll see what we can suggest /RB https://t.co/ldFdZRiNAt,shuffle play isn’t working on mobile. Also my discover weekly is the same as last week. Any thoughts?,Hey there! Can you DM us your account's email address? We'll see what we can suggest /RB,6
979812,@SpotifyCares Restarting the connection didn't help. I tried it on my laptop and the songs are playing there.,979813,@352349 Thanks for the info. Best thing to try here is a reinstall. Just follow the steps at https://t.co/EqisDMwZAT. Let us know how it goes /TB,Restarting the connection didn't help. I tried it on my laptop and the songs are playing there.,Thanks for the info. Best thing to try here is a reinstall. Just follow the steps at Let us know how it goes /TB,0
1713304,@118266 album got7 yg terbaru blm ada apa emg ga ada? Seventeen sama twice juga gaada hhhh update donggg percuma bayar😒😒,1713303,"@518908 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /JS",album got7 yg terbaru blm ada apa emg ga ada? Seventeen sama twice juga gaada hhhh update donggg percuma bayar😒😒,"Hey! We can help out in English via Twitter, but we also have Indonesian support via email at /JS",4
1904938,@SpotifyCares can I upgrade from premium to family and still pay on my phone bill?,1904937,@567659 Hey! It's currently not possible to subscribe to Family via your mobile provider. Could you DM us your account's email/username? /AY https://t.co/ldFdZRiNAt,can I upgrade from premium to family and still pay on my phone bill?,Hey! It's currently not possible to subscribe to Family via your mobile provider. Could you DM us your account's email/username? /AY,1
620362,@115888 LET ME GET IT TOO 😩😩 @SpotifyCares https://t.co/MzpiXph2Hl,2910959,"@312164 Hey! Right now, this offer's for new subscribers only. Stay tuned for more deals for existing Premium subscribers, though 🙂 /PB",LET ME GET IT TOO 😩😩,"Hey! Right now, this offer's for new subscribers only. Stay tuned for more deals for existing Premium subscribers, though 🙂 /PB",6
149349,Dear @SpotifyCares sometimes when I'm scrolling twitter my music pauses itself and then when I click play it plays super sped up . Is this a bug or am I accidentally clicking something ? The app is running in the background so I'm not sure it's a user error,149348,"@150029 Hey Daniel, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK",Dear sometimes when I'm scrolling twitter my music pauses itself and then when I click play it plays super sped up . Is this a bug or am I accidentally clicking something ? The app is running in the background so I'm not sure it's a user error,"Hey Daniel, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK",6
2294862,When is reputation going to be on spotify,2294861,"@666367 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /DD",When is reputation going to be on spotify,"Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: /DD",2
272948,@SpotifyCares could you promote my new single voodoo https://t.co/ogkS9Aj7db,272947,@181184 2: out https://t.co/6BMOmfiZvQ to help you gain visibility /LO,could you promote my new single voodoo,2: out to help you gain visibility /LO,0
2653150,@115888 needs to update their app to support iPhone X already,2653149,@748227 Hey there! We understand - we’re working on it as we speak. Stay tuned /NQ,needs to update their app to support iPhone X already,Hey there! We understand - we’re working on it as we speak. Stay tuned /NQ,0
1250626,Anyone else having issues with #spotify connect where it connects to devices that aren't yours or others connect to you? @SpotifyCares,1250625,"@413414 Hi Jason. Don't worry, we'll look into this. Can you tell us what device, operating system, and exact app version you're using? /JU",Anyone else having issues with #spotify connect where it connects to devices that aren't yours or others connect to you?,"Hi Jason. Don't worry, we'll look into this. Can you tell us what device, operating system, and exact app version you're using? /JU",2
1790181,"Hey @SpotifyCares maybe, just maybe it only impacts 1% of your users because those that hit the limit leave. Or they work around it and just accept a crap user experience (that was me for years, messing with nested playlists until I got sick of it).

https://t.co/NrkgwUM7yQ",1790180,@537745 Hi there! Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team /DD,"Hey maybe, just maybe it only impacts 1% of your users because those that hit the limit leave. Or they work around it and just accept a crap user experience (that was me for years, messing with nested playlists until I got sick of it).",Hi there! Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team /DD,0
129742,@115888 Iba ba yung 129 for 3 months?? Yun kasi yung na avail q eh,129741,"@145252 Hey Jenny! We don't offer support in Filipino, but we'll gladly help out in English here at Twitter. Can you DM us your account's email address or username? We'll take a look backstage /AR https://t.co/ldFdZRiNAt",Iba ba yung 129 for 3 months?? Yun kasi yung na avail q eh,"Hey Jenny! We don't offer support in Filipino, but we'll gladly help out in English here at Twitter. Can you DM us your account's email address or username? We'll take a look backstage /AR",0
2774539,@115888 what's wrong with my apps? https://t.co/TvE22qCM6J,2774540,@775404 Thanks for the screenshots! Have you tried a reinstall? Follow these steps at https://t.co/EqisDMwZAT. Let us know how it goes /VV,what's wrong with my apps?,Thanks for the screenshots! Have you tried a reinstall? Follow these steps at Let us know how it goes /VV,0
2251376,@SpotifyCares literally just want to know what stranger things mode is,2251377,@386987 1: Got it. The Stranger Things Mode is in partnership with Netflix to promote the latest season of Stranger Things.,literally just want to know what stranger things mode is,1: Got it. The Stranger Things Mode is in partnership with Netflix to promote the latest season of Stranger Things.,0
960784,@SpotifyCares hi why are all my offline devices the same devices? But my DL'ed was just deleted saying max of 3 devices can only download.,960783,@348001 Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt,hi why are all my offline devices the same devices? But my DL'ed was just deleted saying max of 3 devices can only download.,Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS,5
848564,The search feature is all sorts of screwed up right now @115888,848563,"@321657 Hey there! What’s happening exactly? Can you let us know the device, operating system, and Spotify version you're using? /MA",The search feature is all sorts of screwed up right now,"Hey there! What’s happening exactly? Can you let us know the device, operating system, and Spotify version you're using? /MA",5
149341,@115888 y dose ur app keep restarting my phone when I start the app up??,149340,"@150027 Hey there! That's not cool. Can you let us know the make and model of your device, along with the OS and Spotify versions you're rocking? /QI",y dose ur app keep restarting my phone when I start the app up??,"Hey there! That's not cool. Can you let us know the make and model of your device, along with the OS and Spotify versions you're rocking? /QI",5
2038177,Hey @115888 where is our Apple Watch app? #pleaseandthankyou cc: @SpotifyCares,2038176,@602652 Hey there! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /NQ,Hey where is our Apple Watch app? #pleaseandthankyou cc:,Hey there! Check out the official idea and add your vote to let our devs know it's something you'd like to see: /NQ,0
2306933,Is @118062 ‘s reputation album coming to @115888 soon?,2306932,"@669234 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /AR",Is ‘s reputation album coming to soon?,"Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: /AR",4
2853061,@SpotifyCares Can you tell me &gt; show me how I can access my inbox with songs in?? Not sure where this feature has gone??,2853059,@477867 Hey Kat! We have some info about this here: https://t.co/xW1fRS96NG. Give us a shout if you have any other questions /DB,Can you tell me > show me how I can access my inbox with songs in?? Not sure where this feature has gone??,Hey Kat! We have some info about this here: Give us a shout if you have any other questions /DB,5
565390,@115888 your app constantly crashes or doesn't respond. Any known issues for this on android?,565388,"@252492 Hey there! Can you let us know your device's Android and Spotify versions? Also, is this happening over WiFi or 3G/4G? /NQ",your app constantly crashes or doesn't respond. Any known issues for this on android?,"Hey there! Can you let us know your device's Android and Spotify versions? Also, is this happening over WiFi or 3G/4G? /NQ",0
172506,I think a @115888 @1511 merger would be dope.,172505,"@156314 Hey, nice idea! It's definitely something for the team to consider and we'll make sure it reaches them /RA",I think a merger would be dope.,"Hey, nice idea! It's definitely something for the team to consider and we'll make sure it reaches them /RA",0
