text,intent
Tried that but none of it works. Album is Modal Soul by Nujabes in mp3 format. I can see the files in spotify but they just wont play.,Playback_Issue
No longer getting the student discount from even though I'm still a student... Lame :(,Family_Student_Plan
"Bring back your NUS partnership, my education doesn't support UniDays and I'm not paying full price when it should be half price 😆",Family_Student_Plan
"feature request with more than 3000 votes, fully ignored",Feature_Request
please help! I just realized I’ve been getting double charged for my account since March!,Payment_Refund
why have you charged me £14.99 on the 18th of November as I upgraded my subscription and why have you then charged me £9.99 on the 26th of November for a standard premium spotify account. SORT OUT A REFUND ASAP!!!!,Payment_Refund
"Another glib reply to a basic feature request that's been out there for years. In the mean time my kids can hear the f, c and n words blaring out on the sonos. If apple music can do it so can you. In fact f it, I'm leaving spotify for Apple.",Feature_Request
"I think my account has been hacked, someone keeps playing music using Spotiamb 0.2.1 as a device - what do I do to resolve?",Account_Security
Help me fam. I already paid for premium acct. For but its still in free trial?,Premium_Subscription
been getting this error for the last couple hours and cannot login without my Facebook account. Any help?,Login_Issue
"music stream stops playing (on mac) says that another device is playing.. would like to know which one… (I have sonos, ipad, iphone etc etc) so I can disconnect the other source",Playback_Issue
"trying to add a family member to my subscription, but after logging in & entering correct address details, I get the ""oops try again"" error. Tried multiple invites & browsers",Family_Student_Plan
offline download limit. WHAAT. WHAAT. WHAAAAAT.,Downloads_Offline
I think my account has been hacked. Can you help. I've never used Firefox before and this kept popping up while I was listening on the go. Plus for a sketchy email,Account_Security
I just tried renewing my subscription and it charged me twice and hasn’t renewed it 🤔 sos,Payment_Refund
why doesn’t your shuffle function completely randomise playlists? It will just shuffle about 20 songs in a playlist of 3000 songs...,Playback_Issue
I had Spotify family but when I went to pay it just charged for a single plan. I don’t want to pay twice. What to do?,Payment_Refund
"Hi, Spotify. I applied for the student discount premium, got approved via email, and was already charged on my credit card but my account's subscription is still ""free"". I tried logging out everywhere/ sign in again but still it doesnt work. What else can I do?🙂",Family_Student_Plan
#feature request for As a user I want to see MY playlists that contain a song when I search for it in the search bar,Feature_Request
iPhone 6s with the most current operating system and Spotify version with a premium family account,Family_Student_Plan
see screenshot below - 'premium for family' page not working in internet explorer. Please can you fix so I can add a family member? Thanks,Family_Student_Plan
"Hi, I registered for Spotify's student discount a couple of weeks ago and sent in my details. They were verified by SheerID on the 13th Nov, however at that moment I forgot to click the link in the email to finalize the process. Now it's not working, is it too late?",Family_Student_Plan
"- Some lovely human hacked my account and changed my login credentials. Luckily this morning I had an antiquated circle called a cd, but I won’t last long without infinite variety. Help! #hacked #spotify #help",Account_Security
why did the app take €15 off me for premium (both regular premium and student premium) when my college is not on the list so I am not eligible for the student one?????? If I’ve paid for a student one I want my money back for the regular one then.,Family_Student_Plan
I think my account got hacked. But I can't contact you. Advise.,Account_Security
Why have I been charged twice for my subscription this month?,Payment_Refund
"All of my downloads disappeared overnight, from both authorized devices. The Spotify support page on this subject suggests a few possibilities, none apply to me. That is a huge user experience problem.",Downloads_Offline
I use Firefox Quantum on Mac OS Sierra version 10.12.6 on a late 2009 iMac desktop. Fairly often Spotify just won't let me play any music. I have to totally close Spotify and re-login for it to work again. Sometimes a browser reset is also necessary. Thanks for looking into this.,Playback_Issue
"Hey so this is the third time this happens, out of nowhere all my downloads disappear. ☹️ I went to listen to music offline today and found that I couldn't because they were all gone.",Downloads_Offline
have been charged twice $9.99 for a personal account when I want a family account for $14.99. Can you fix this...acct Cervelott,Payment_Refund
"Yo when will the shuffle finally get fixed. I'm so done with this like other thousands of people and after 2,5 years there is still no fix. Is there a fix coming in the short term or do we really need to start using other services, cause tbh i like sportify way more",Playback_Issue
"Yes, I'm still having this issue, I can't log in with my spotify account but I can log in with my Facebook account.",Login_Issue
Can you please update us on how long these problems will take to fix? I still can't log in due to them :/,Login_Issue
"My Spotify computer app has legit said ""offline"" for 4 months and every attempt that customer service has attempted has failed miserably.",Downloads_Offline
"I keep getting the message ""cannot play ... the connection to Spotify was lost"", what's going on?",Playback_Issue
"Looks like you're down again today, won't play on my desktop in Chrome or Firefox.",Playback_Issue
is there an issue with linking to Sonos? It won't play via Sonos or let me reauthorise!!!,Playback_Issue
someone hacked my account. Any help on how to change my e-mail address back?,Account_Security
You Just Cheated Me Out Of A $10 Spotify Card And Now I Want My Refund Back Right Now.,Payment_Refund
this is getting a bit ridiculous now tbh every morning i go onto my account ALL of my previous downloaded albums aren't downloaded anymore meaning i can't listen offline. why am i paying for this shit? does spotify really care?,Downloads_Offline
"Dear , my family member got kicked out from my family account. Can I look for my address on my account? is there any history to look what I write on my form? Thank you.",Family_Student_Plan
"spotify at first said no internet connection even though I have one. I cleared cache, uninstalled, reinstalled. Now I can't log in. Changed Facebook password, nothing works. Help!",Login_Issue
"hey y'all! I saw that reputation by Taylor Swift is in your library, but I can't play any of the songs besides the ones that were in your system prior to today. Can you tell me when the blacked-out songs will be available to stream?",Playback_Issue
"heeeeelp! Someone has changed my email and hacked my Spotify, now I can’t get back in 😕",Account_Security
"I need help resetting my password. I think someone hacked my account and changed it, but I was still able to log in through Facebook",Account_Security
"my wife is trying to accept my new Spotify Family plan and she's getting the error ""undefined - Oops something went wrong, please try again."" Please advise.",Family_Student_Plan
"Hi! My app is showing as offline. I originally thought it was an issue with my ISP, however everything else seems to be working.",Downloads_Offline
Is offline for anyone else?,Downloads_Offline
"Explain why Spotify has 1,600+ employees and can't play music without skipping, but Winamp was written by two people and does not skip.",Playback_Issue
I'm pretty close to unsubscribing to If my app doesn't stop crashing👿👿👿,App_Technical
"can you please add a ""mix-button""? So you can mix the songs on you're playlist?",Feature_Request
"I'm trying to get the Spotify Premium deal that is 3 months for $0.99 but when I try to buy it, it says ""This form has expired. Please reload the page and try again.""",Premium_Subscription
my mom is being charged every month for premium service but her account doesn't have premium features. She doesn't want spotify at all and she can't figure out how to quit being charged. Any help?,Payment_Refund
"Why have I had an email welcoming me to ""Premium for Family""? Is this marketing, or is my account compromised? I was on the old Unlimited plan.",Account_Security
"I just bought the premium account but on the app it still says that I have a free account so I am not getting the premium status, what should I do?",Premium_Subscription
why do you have to live at same address for a family plan?,Family_Student_Plan
Can you please help me? My account got hacked!,Account_Security
"Hello, recently I moved from Canada to the US for School, and wanted to sign up for the student discount. However, when I try to input my US Card, it gives me a ""the selected card is not available in this country"". And I am unable to change the country as well",Family_Student_Plan
Could you try adding more an error message when a file wont play? Could you try building in a way to resymcing specific files?,Playback_Issue
I am tryi g to invite a family member to spotify premium but error 600 shows up.,Family_Student_Plan
I think someone’s hacked my account and changed the email address registered so I can’t reset password. What do I need to do?,Account_Security
Electronic 80's (Ministry Of Sound) by Various Artists any reason why I can find this typing it in the Google browser but cannot find it in the Android app search . How many other albums are missing via the search?,Music_Content
SPOTIFY WONT LET ME PLAY THE NEW IONNALEE SONG GOD DAMMIT,Playback_Issue
what is a phone number I can reach you guys I need you to refund me my money you guys are charging me even though I’m part of a family plan,Payment_Refund
"So you kick me off my families Family Plan then your website isn't allowing me to accept the invitation while trying to get back on the plan, why?",Family_Student_Plan
I was just disconnected in a live chat right after my account was shut down to verify my payment. Someone was using my Spotify account. Now I can't log in to reconnect to live chat and verify my first receipt. What should I do?,Login_Issue
hi can you help? I can't log in my acc,Login_Issue
y’all charging me for an account I don’t have I want a refund now,Payment_Refund
it's 2017 why do I have a 3333 offline song limit on my spotify? Do you really want to get that 9.99 a month off me? Ps pls emulate their local files synching.,Downloads_Offline
"I can't log in to my account cos my account was set to offline, I click to go online while trying to log in and it just stays on a black screen?",Downloads_Offline
"Who should I send recommendations like these to?: Starred Playlists Search bar when adding a song An even more accurate “Discover Weekly” Boom, Equalify— companies for computers👌🏻, but phones? Incorporate #SpotEQ into your own app, etc.",Music_Content
"i found out that ive been getting charged with a premium in my itunes “subscription” but i have been unsubscribed since september and i’m just on my free account, i can’t find any help feature to reach out to your app CS",Premium_Subscription
"Hello there, I just upgraded my Spotify account into premium but whenever i open my Spotify it's not playing offline.",Downloads_Offline
your app sucks. I want a refund.,Payment_Refund
🚨🚨SEND HELP🚨🚨 my friends songs wont play not all but an exceptional few and they’re absolute bops we tweet this to you with high concerns but with high hopes of an answer 😁👍🏽,Playback_Issue
"when are you planning to sort out the #bug where it takes a good 60 seconds to add a track to a playlist when you are offline? It's been like this since ca mid-2014 (wasn't the case before). Still happening on iOS, even on beta 8.4.29. Driving me #mad.",Downloads_Offline
"A member of my family plan has an issue she cant join to the plan, it says""try again"" cause theres a problem, í send the inv like 4 times this week",Family_Student_Plan
"3rd time in less than a month. This time it wasn't just the albums that were deleted, but also the multiple playlists I had. No update, no offline mode. Why am I even paying for ""premium"" if the service is anything but that?",Downloads_Offline
"The one thing I'd really, really, really like is the ability to drop a song from the mix. That way I can enjoy the rest on repeat shuffle. Would be a nice feature",Playback_Issue
I don’t make any offline playlists so it’s just happening to my downloaded albums. Happens every week or so.,Downloads_Offline
"I purchase the 3 months for 9 pesos spotify premium , its not working",Premium_Subscription
Hi there! I lost my NUS discount since the change to UNIDAYS - they don't recognise my institution; is there anything you can do?,Family_Student_Plan
I had premium via family plan. It was canceled. Got it again. My account info was erased from families account. Don't know my email or password I used. I only know my username. Please help me!,Family_Student_Plan
I have signed up for premium and the money has come out of my account. I have logged out then in but still not working. It is the right account and right email so it couldn’t of gone to the wrong account and I still haven’t received the emailed receipt. Help please,Premium_Subscription
hi. My account was hacked and I've sent a mail to your support team on Wednesday. No response yet and locked out of account still. Any update?,Account_Security
Sweet. I e-mailed The swedish support two weeks ago but they haven't answered. I keep getting logged out from my account and can't log in without reinstalling the app. This deletes all my downloaded playlists. What can I do?,Login_Issue
I can't log in from Poland in Linux app.,Login_Issue
hey why can i play any music even on shuffle without having premium?,Playback_Issue
why do i have a 3333 offline song limit on my spotify?,Downloads_Offline
this is the second time this has happened. I got charged twice and I wanna cancel and get my money back,Payment_Refund
"My student premium account is due to expire, but I can’t verify on the Unidays website... any chance you could PM me please?",Family_Student_Plan
"Yep, hacked. Your anti fraud systems are shit. A couple of accounts added to my family account. Can you please check what else has been done to my account?",Account_Security
I went to add student premium to my account but the sign in through university didn’t go through but I still got charged $4.99 but I don’t have premium.. I want to cancel but it shows no subscriptions,Payment_Refund
I just paid for Premium service via your webpage with Facebook login yet my account is still showing only free service.,Premium_Subscription
", I'm having issues with my student premium with hulu...any help?",Family_Student_Plan
I wanted to apply but the link doesn't work do you have any email from the Berlin offices? Thx,App_Technical
I am trying to sign up for the invite for the premium family subscription but after I sign in all the information it states there is error try again,Family_Student_Plan
I’ve noticed that shuffle hasn’t been working for me lately. It will start on a random song but then just continue through the playlist normally. Any reason?,Playback_Issue
"my spofity plan was originally the student discount membership, however now i see you've been charging me 10 pounds a month...why? im still a student...",Family_Student_Plan
the ios beta update screws with spotify. my music stops any time i get a notification and wont play unless i reopen the app. please look into this,Playback_Issue
- ads are playing on my premium sub and I can’t play any of my music - clicking a song from within a playlist causes the green ‘shuffle play’ button at the top to pulse but then nothing happens... 🧐,Playback_Issue
1 day has almost passed and #RIDE is still not available on spotify in germany I WILL SUE,Music_Content
me and my wife have separate spotify accounts but we want to get the family plan. Do one of us have cancel an account and get invited to the family plan? what about the payment plan? do the single accounts automatically switch to the family account?,Family_Student_Plan
I joined a Family plan and updated my address to reflect my current home address but it does not update my home zip code in my account.,Family_Student_Plan
"the ""Time Capsule"" playlist you made for me is great but it's ALL songs on my main playlist that just never come up on shuffle. Why do the same 20-25 songs ALWAYS play?",Playback_Issue
"Thanks for getting back to me. My question is - when you ""shuffle"" a playlist is it truly random? For at least the past year it feels like the same songs keep coming up even though there are over 2k on the playlist.",Playback_Issue
Hey feature request. A button that stops Christmas songs playing before 1st December. Thanks.,Feature_Request
I need help with my family account. My wife can't login with the email invite I sent.,Login_Issue
"why is my desktop player always going ""can't play the current song"" after 6 seconds on ANY track. Annoying.",Playback_Issue
"cant play music, only lets me start a radio station based on songs",Playback_Issue
"hey just a quick request, someone I don't know keeps accessing my account & adding random trashy music thru connecting devices & I'd really like it to stop thanks!",Music_Content
"Hi, i paid and it was already charged to my card, but my account is not premium",Payment_Refund
Cant play anything! Is it just me or..?,Playback_Issue
"if I have premium family account with Spotify, and I'm a student, can I still get the Hulu bundle?",Family_Student_Plan
I have a student premium acct. and for the past 2 months ive been charged full price and have not had access to hulu nor could i find a solution on the community forums/pages,Family_Student_Plan
just got super buggy after the last update. Can't play any songs from album-only view #PleaseFixItQuickly 💚💚💚 #ITurnedItOffAndOnAlready,Playback_Issue
"I wish there was a way to put multiple artists in a radio station. Like, if I only wanted to listen to 3 bands and shuffle between their songs.",Playback_Issue
can't play any music in album page on Windows 7 64-bit version 1.0.68.407.g6864aaaf. all other music plays fine. attached image to show what it looks like when i try to play a song from album page. if i play the exact same album in my files it works fine.,Playback_Issue
I can't play albums/singles on the desktop. I can only play them from the artist page.,Playback_Issue
"please help. I constantly get ""Error 500"" while trying to verify my student premium account. (The problem is that I can't finish my purchase). Can I do something? Or not?",Family_Student_Plan
it would be great if when I purchased a gift it got sent when you took the money for it. Still waiting and haven't received a emailed receipt either.,Feature_Request
"Hey. Can't download anything from the Android app. Offline mode is off, Download using cell data is on, I'm on premium, got fast and reliable data connectivity. What's wrong? Help me. ASAP",Downloads_Offline
Hi . I'm a student but I can't get the student discount offered as UNiDAYS don't cover my course. Got my NUS card to hand if you need proof,Family_Student_Plan
Well don't you think you should re-evaluate your advertising campaign to 'UNiDAYS members' rather than 'students'?,Family_Student_Plan
"Having some playback issues. Web player and app both won't play ""in album"" on my laptop. Clicking same song on artist front page works, but not in album itself. Any suggestions?",Playback_Issue
hubby and I trying to combine our Spotify and work off that turkey. Can't do w/o music! Can't add him to the plan - clicking to add family member & blank screen. On Mac OS over web.,Family_Student_Plan
make a better app. Won't even load the page so I can update payment method 👌 real quality app here crashing every time I try..,App_Technical
I installed the app and trying to signing up with Facebook and mail also but it's not working 😥,App_Technical
Why this app doesn't work in India ??,App_Technical
Seems Spotify desktop client doesn't like VPN. While connected to VPN Spotify 1.0.63.617 claims it's offline (error code 4).,Downloads_Offline
let me sign up for the student discount damnit i'm trying to be a good person here,Family_Student_Plan
"biked 26 mintues and got 3 commercial blocks, for 30min addfree music. Also keeps saying I should watch a clip but I'm on mobile, listening",Music_Content
"I don't like latest changes. Controls fade away and album art zoomed in too much, missing sides. Please revert. #thinktwice",Music_Content
Microsoft is promoting their Music Pass Costumers to Spotify but you're Mobile App is Crashing after 10Minutes of use and is not up-to-date.,App_Technical
yas you should add their solo' single to that playlist!! it would be nice and makes a lot of fans very happy!! thxx,Feature_Request
"whenever I try to connect my student premium to my Hulu, I get this. Please help",Family_Student_Plan
I was charged for a premium for family account despite never signing up for it- why did this happen and can I get a refund?,Payment_Refund
having issues with the shuffle when connected through bluetooth on my car. i have iOS11.0.1 and a Mazda vehicle.,Playback_Issue
need some help figuring out the family plan. Setting up one for my mom but the account isnt working.,Family_Student_Plan
"Issue w/Spotify on WinMobile 10. Keeps saying can't connect audio, restart. Either that or just wont play. TIA #windows10",Playback_Issue
wait so if I already have Spotify Premium at a student discount does that mean I still have to pay again for Hulu? I’m confused please help?,Family_Student_Plan
"whenever I try and share a playlist or so on my Android phone the app crashes. Android 8.0, Spotify version 8.4.21.508",App_Technical
I was just informed that I was upgraded to the Family plan (not by choice). I did not do this. Why would this happen?,Family_Student_Plan
"hi, I just want to double check that I put my address in correctly for the family plan. Is there some way to check that?",Family_Student_Plan
seems to be a problem with a specific playlist that has a lot of offline content. i switched to my daily mix and i can connect to devices. but i can’t go back to the content i wanted; i get this:,Downloads_Offline
"Just to inform everyone, I got the Spotify/Hulu student discount. So no one will probably see me these next few days.",Family_Student_Plan
Hi - all my offline tracks (everything in my 'songs') keep greying out. Happening like 2/3 times a month. Is there a fix?,Downloads_Offline
"I am unable to use Unidays as I am studying the ACCA qualification. I have a validated NUS, is there nothing I can do? Thanks",Family_Student_Plan
please add Nujabes to the library,Feature_Request
That big green shuffle button should be Play not shuffle,Playback_Issue
How do I disable shuffle?,Playback_Issue
premium acc. Searching for album. Want to listen in full. Green button is shuffle play. How do I play all tracks & clear que?,Playback_Issue
can I download albums to hear offline at the computer or this is available only to playlists?,Downloads_Offline
"what does shuffle even mean? I've had the same 3 artists for the last 20 songs now. Thousands of songs, and this still happens?",Playback_Issue
#newfeature add song to multiple playlists at one time please!,Music_Content
trying to add family member,Family_Student_Plan
"Yo, Everytime I shuffle my playlist it keeps on playing them in the same order. It's like the shuffle isn't random. pls fix :(",Playback_Issue
Now seems I can use storage device to save. Bt the song I've been downloaded can't play offline. I hv to re-download. Where's all my songs?,Downloads_Offline
"please add the ability to have a ""Stop"" button, that can be right clicked and ""Stop playback after current song"" be an option?",Music_Content
Manuelly do the arrangement. So I can I have the right order of like 10 songs without putting it on shuffle. And it being out of order,Playback_Issue
having issues connecting to the internet on a desktop. Says I'm offline when I have full internet connection,Downloads_Offline
hi! I’m already on premium and want to upgrade to family. Do i get charged twice for it once I do the upgrade?,Payment_Refund
I have to pay if I want to not shuffle through my own personal music that I own from CDs? Are you serious?,Playback_Issue
So that's a yes? I have to pay to not shuffle my personal music?,Playback_Issue
my account got hacked and i need the email to get back into the account but the email used isnt mine so can you guys please,Account_Security
"Hey! I was charged twice for october since i signed up for the student rate, can i have a refund please!",Payment_Refund
Still can’t access my account as someone has hacked it. If my playlists have gone I’ll be devastated 😢,Account_Security
"Unfortunately not, I’ve also tried uninstalling and reinstalling the app but that’s not working either",App_Technical
any big fixes yet for iOS 11? Not been able to use shuffle/repeat when connecting to my car (Mazda 6) since the latest update,Playback_Issue
"Hi ,my brothers and I,have problems to log in the Premium Family Plan. Can you help us asap?Is not a free service,thanks",Family_Student_Plan
"Hey , I'm getting real tired of not being able to listen to music and have the app crash all the time. Please fix it.",App_Technical
: Dear Mr. Spotify your shuffle feature is not random.,Playback_Issue
Every other day my account logs out & can't log back in as I get an offline error? What's the point in having offline music?,Downloads_Offline
Hello! Why is Invisible Man by 98 degrees not available on Spotify? Not the acoustic one. Can it be made available?,Music_Content
please add Code Red songs..🙂,Feature_Request
"why am I limited to 3,333 songs offline? I just feel like if I'm paying it should be a lot higher than that :/",Downloads_Offline
"login button on the app doesn't work, help!!",App_Technical
"I have a problem with Shuffle, it doesn't work in my car (Mazda 6 2014).. when I connect, the shuffle sign turns off..",Playback_Issue
Can you help me with my student premium account?,Family_Student_Plan
hi! I've had a problem with my Spotify for over a month now. The app for my phone keeps telling me I'm offline. Please help me,Downloads_Offline
"Hey and , could we consider implementing a stateful shuffle? Need Help? I'm looking for a new Software Dev role in NYC",Playback_Issue
"My account shows Premium Family at work where I listen to spotify, but my iphone subscription shows FREE & I can't dload etc",Family_Student_Plan
No it's a downloaded playlist. It stops playing half way through the song. You can't skip forward or back then the app crashes,Playback_Issue
um i just went to put together a little xtina playlist for my shower only to find back to basics isn’t on spotify anymore???,Music_Content
I am a student and just realized I've been getting charged $10 instead of $5 the last 3 months without any notification.. I would like a refund.,Payment_Refund
I left because I can't get my free trial to work offline and there is no one to talk to to help. And I really really wanted this 😢😢,Downloads_Offline
is this a CarPlay bug in iOS11 or a Spotify app specific bug for CarPlay? 🤔🤔🤔,App_Technical
How? I've been using the Spotify student premium but how do I use it for Hulu??,Family_Student_Plan
I’ve been overcharged for my premium subscription,Payment_Refund
fix your shuffle button,Playback_Issue
"So, almost half of Chris Knight songs are missing. Especially the most popular.",Music_Content
"2/2 I realize the application is in maintenance mode which means no new features, but it should mean bug fixes for paying customers.",App_Technical
what’s wrong with your app.. songs keep crashing and skipping #spotify,App_Technical
When will Harry’s cover of The Chain be put on Spotify I’m tired of waiting,Music_Content
"help, I can’t add my sister in to my family plan, error 3 appears",Family_Student_Plan
I have been charged a third time today! That's a total of £17 for one months membership. Please refund this back with compensation,Payment_Refund
i need help with my family plan,Family_Student_Plan
any way i can get access to hulu even if I have a family plan? Still a college student & I pay for the family account,Family_Student_Plan
"for some reason, i cannot play any Beck songs on my desktop app. I have no problems playing anything else. ""this song is not avail""",Playback_Issue
"I love you, , but can we get an ACTUAL shuffle instead of just one alternate order? Am I making sense? Hello, are you there? I c",Playback_Issue
Does student discount only last for so long? I was getting the student discount then suddenly started getting charged the 10$ instead,Family_Student_Plan
Just canceled my premium subscription and not interested in using the rest of the month. Any way I can get a refund?,Payment_Refund
I can't login to my Spotify acct thru the Groove app to move my music over. Checked the credentials on my phone too,Login_Issue
"The app crashes everytime I try to share a song, then it restarts playing the previous song.",App_Technical
"Hi, i'im ima, seems like my premium account has been hacked & i can't login via username/email, what to do?",Account_Security
For YEARS I've been paying for Spotify. I don't USE Spotify...EVER. Please cancel my scrip and refund the $ you just took . Thanks. Rich Briere 01040,Payment_Refund
Invoice ID P039C2031A 10/2 Thanks. Refund as many months as you'd like to my PayPal account.. :),Payment_Refund
Hey I signed up for the student discount Hulu/Spotify Bundle but I can only log into Hulu and not Spotify?,Family_Student_Plan
can someone help me get a refund. I cancelled my supscription but still got charged.,Payment_Refund
"I have an account with Spotify, but since a few weeks I cannot login to Spotify on my Mobile. On PC OK",Login_Issue
hello. Just wondering with the family plan how you determine everyone resides at the same address. Can’t find it on the website?,Family_Student_Plan
"Still hasn't helped, won't play on bus wifi and won't play when I go off the app either..",Playback_Issue
Where the songs at tho? Pressing shuffle play does nothing btw,Playback_Issue
"got a bug report for you: whenever I hit the share button on a song Spotify crashes. Android user, Google pixel 😊",App_Technical
"I'm not a student again, how do I transfer my premium to student premium?",Family_Student_Plan
I've paid for the premium account but it's still not working can I know why pls?,Premium_Subscription
can you add some Got7 and Twice already....more than just one song each. Please and thank you 💕,Music_Content
"I got the student discount and it went through successfully, but it keeps going away and putting me at the normal rate",Family_Student_Plan
"Can't login as of this morning. Tries to let me log in for a few seconds, then kicks me out. Also won't let me change pass.",Login_Issue
my account was hacked and someone listened to a bunch of really offensive music on my account. now my discover weekly is f'ed. help,Account_Security
add a feature where we can see our most played songs and artists pleeeasseeeeee,Feature_Request
I'm locked out of my account and I'm thinking it must be hacked. I went to the help page but there are no options for my problem,Account_Security
I usually have my library saved. But the app randomly deleted it & streamed instead. Shouldn't HAVE 2 run offline mode if I can save songs,Downloads_Offline
please help I've been overcharged....,Payment_Refund
why do I ONLY have the option to shuffle play? I just want to hear ONE song. But won’t work 🤦🏽‍♀️🤷🏽‍♀️,Playback_Issue
hi. I've got a question. I tried to applied to Student Discount but it wasn't completed. I provided my card details and the transaction is pending. However it doesn't make sense if the subscription wasn't completed? What could I do?,Family_Student_Plan
Sorted. Had to delete my list of offline devices but it seems to have worked. Cheers.,Downloads_Offline
"always whatever the latest episode is - changes. click it, jumps to past ep but won't play. iPhone, OS 10.3.3. Spotify v 8.4.20.535",Playback_Issue
Hi are you working on a futur Windows Universal App? Can you add the feature allowing us to set Spotify as default music App?,Music_Content
"👋 Hi! I’ve signed up to a Family Plan and my wife is marked as `Active`, but her accounts keeps showing up as free. Help!",Family_Student_Plan
"Here it is! Can't play the ad, can't skip, and can't play any playlist or song. No ad-blocker turned on, either. Thx in advance!",Playback_Issue
"Hey, , my account is frozen on an ad and won't play in any browser. Can't play the ad OR my music. Pls help!",Playback_Issue
why was I charged twice and yet did not receive this deal? I’m still on Spotify free!!,Payment_Refund
"My guest can not join the family plan, I already sent him the invitation.",Family_Student_Plan
"I don’t really know, and when the problem happened I had one of my playlists not saved for offline. How can you check?",Downloads_Offline
"Hi, I can't login on android. App keeps telling me the device is offline. When I press""connect"", nothing happens. Please help",Downloads_Offline
So far not so good ... can't play my own music... :( trying to make a playlist... but no song is available in Spotify :( .... HAAA,Playback_Issue
but how about the fact that i literally cannot use the shuffle option? any way around that?,Playback_Issue
"loads of my spotify songs just un-downloaded, and i can’t shuffle any of my playlists? or any songs at all, what’s going on ?",Playback_Issue
"Hi, I signed up for Premium accidentally and have now unsubscribed. I have not used the service. How do I get a refund? Thx",Payment_Refund
My account email has been changed by someone else and I can't login or get a new login or send you an email or call you....,Login_Issue
just wondering how much longer until I can get Rammstein's album Liebe Ist Fur Alle Da and any other parts of their catalog back? Really missing Ich Tu Dir Weh right now! If it's gonna be awhile I may have to think about switching.,Music_Content
. feature request: when playing a playlist or album have a position indicator maybe dots or a bar under album art thx luv u,Feature_Request
can you please check your dms??? My account has been hacked and I’ve been trying to get help for over an hour now,Account_Security
